case_id	edition	page	model	direction	representation	source_names	status	known_matching_size	upper_matching_size	known_deficiency	upper_deficiency	plants_without_known_units	plants_without_upper_units	independent_confirmation_leaves
IT2a|f103r|f103r.8-f103r.12|PLANT_IDENTITY|ORIGINAL|ALL_TREE_NODES	IT2a	f103r	PLANT_IDENTITY	ORIGINAL	ALL_TREE_NODES	32	CONTRADICTED	10	10	22	22	Diacedon | Fennill | Frankincense | Horehound | Mandrake | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Perwinkle | Saffron | Sallendine | Succory | Trifoile | long Aristolochy	Diacedon | Fennill | Frankincense | Horehound | Mandrake | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Perwinkle | Saffron | Sallendine | Succory | Trifoile | long Aristolochy	0
IT2a|f103r|f103r.8-f103r.12|PLANT_IDENTITY|REVERSED|ALL_TREE_NODES	IT2a	f103r	PLANT_IDENTITY	REVERSED	ALL_TREE_NODES	32	CONTRADICTED	10	10	22	22	Bur | Comfrey | Fumitary | Henbane | Ivy | Mandrake | Matry-silva | Milky Thistle | Mugwort | Perwinkle | Quadraginus | Rosemary | Saffron | Succory | Trifoile | long Aristolochy	Bur | Comfrey | Fumitary | Henbane | Ivy | Mandrake | Matry-silva | Milky Thistle | Mugwort | Perwinkle | Quadraginus | Rosemary | Saffron | Succory | Trifoile | long Aristolochy	0
IT2a|f103r|f103r.13-f103r.15|MATERIAL|ORIGINAL|ALL_TREE_NODES	IT2a	f103r	MATERIAL	ORIGINAL	ALL_TREE_NODES	34	CONTRADICTED	10	10	24	24	Flowers of Marigold | Fumitary | Ivy | Majoram | Mandrake | Mastick | Matry-silva | Milky Thistle | Mugwort | Nip | Penyroial | Rosemary | Sallendine | Succory | Trifoile | black Hellebor | root of Mandrake	Flowers of Marigold | Fumitary | Ivy | Majoram | Mandrake | Mastick | Matry-silva | Milky Thistle | Mugwort | Nip | Penyroial | Rosemary | Sallendine | Succory | Trifoile | black Hellebor | root of Mandrake	0
IT2a|f103r|f103r.13-f103r.15|MATERIAL|REVERSED|ALL_TREE_NODES	IT2a	f103r	MATERIAL	REVERSED	ALL_TREE_NODES	34	CONTRADICTED	9	9	25	25	Bur | Comfrey | Diacedon | Fennill | Frankincense | Henbane | Horehound | Majoram | Mandrake | Mint | Mugwort | Nip | Perwinkle | Quadraginus | Saffron | Sage | Succory | Trifoile | black Hellebor | long Aristolochy | root of Mandrake	Bur | Comfrey | Diacedon | Fennill | Frankincense | Henbane | Horehound | Majoram | Mandrake | Mint | Mugwort | Nip | Perwinkle | Quadraginus | Saffron | Sage | Succory | Trifoile | black Hellebor | long Aristolochy | root of Mandrake	0
IT2a|f103r|f103r.13-f103r.15|PLANT_IDENTITY|ORIGINAL|ALL_TREE_NODES	IT2a	f103r	PLANT_IDENTITY	ORIGINAL	ALL_TREE_NODES	32	CONTRADICTED	10	10	22	22	Fumitary | Ivy | Majoram | Mandrake | Marigold | Mastick | Matry-silva | Milky Thistle | Mugwort | Nip | Penyroial | Rosemary | Sallendine | Succory | Trifoile | black Hellebor	Fumitary | Ivy | Majoram | Mandrake | Marigold | Mastick | Matry-silva | Milky Thistle | Mugwort | Nip | Penyroial | Rosemary | Sallendine | Succory | Trifoile | black Hellebor	0
IT2a|f103r|f103r.13-f103r.15|PLANT_IDENTITY|REVERSED|ALL_TREE_NODES	IT2a	f103r	PLANT_IDENTITY	REVERSED	ALL_TREE_NODES	32	CONTRADICTED	8	8	24	24	Bur | Comfrey | Diacedon | Fennill | Frankincense | Henbane | Horehound | Majoram | Mandrake | Mint | Mugwort | Nip | Perwinkle | Quadraginus | Saffron | Sage | Succory | Trifoile | black Hellebor | long Aristolochy	Bur | Comfrey | Diacedon | Fennill | Frankincense | Henbane | Horehound | Majoram | Mandrake | Mint | Mugwort | Nip | Perwinkle | Quadraginus | Saffron | Sage | Succory | Trifoile | black Hellebor | long Aristolochy	0
IT2a|f106v|f106v.1-f106v.4|MATERIAL|ORIGINAL|ALL_TREE_NODES	IT2a	f106v	MATERIAL	ORIGINAL	ALL_TREE_NODES	34	CONTRADICTED	10	10	24	24	Dragonwort | Flowers of Marigold | Fumitary | Mandrake | Mastick | Matry-silva | Milky Thistle | Mugwort | Penyroial | Plantain | Sallendine | Savin | Succory | Trifoile | black Hellebor	Dragonwort | Flowers of Marigold | Fumitary | Mandrake | Mastick | Matry-silva | Milky Thistle | Mugwort | Penyroial | Plantain | Sallendine | Savin | Succory | Trifoile | black Hellebor	0
IT2a|f106v|f106v.1-f106v.4|MATERIAL|REVERSED|ALL_TREE_NODES	IT2a	f106v	MATERIAL	REVERSED	ALL_TREE_NODES	34	CONTRADICTED	11	11	23	23	Bur | Comfrey | Diacedon | Dragonwort | Fennill | Frankincense | Henbane | Majoram | Mandrake | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Saffron | Sage | Savin | Trifoile | long Aristolochy | root of Mandrake	Bur | Comfrey | Diacedon | Dragonwort | Fennill | Frankincense | Henbane | Majoram | Mandrake | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Saffron | Sage | Savin | Trifoile | long Aristolochy | root of Mandrake	0
IT2a|f106v|f106v.1-f106v.4|PLANT_IDENTITY|ORIGINAL|ALL_TREE_NODES	IT2a	f106v	PLANT_IDENTITY	ORIGINAL	ALL_TREE_NODES	32	CONTRADICTED	9	9	23	23	Dragonwort | Fumitary | Mandrake | Marigold | Mastick | Matry-silva | Milky Thistle | Mugwort | Penyroial | Perwinkle | Plantain | Sallendine | Savin | Succory | Trifoile | black Hellebor	Dragonwort | Fumitary | Mandrake | Marigold | Mastick | Matry-silva | Milky Thistle | Mugwort | Penyroial | Perwinkle | Plantain | Sallendine | Savin | Succory | Trifoile | black Hellebor	0
IT2a|f106v|f106v.1-f106v.4|PLANT_IDENTITY|REVERSED|ALL_TREE_NODES	IT2a	f106v	PLANT_IDENTITY	REVERSED	ALL_TREE_NODES	32	CONTRADICTED	10	10	22	22	Bur | Comfrey | Diacedon | Dragonwort | Fennill | Frankincense | Henbane | Majoram | Mandrake | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Saffron | Sage | Savin | Trifoile | long Aristolochy	Bur | Comfrey | Diacedon | Dragonwort | Fennill | Frankincense | Henbane | Majoram | Mandrake | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Saffron | Sage | Savin | Trifoile | long Aristolochy	0
IT2a|f107r|f107r.1-f107r.3|MATERIAL|ORIGINAL|ALL_TREE_NODES	IT2a	f107r	MATERIAL	ORIGINAL	ALL_TREE_NODES	34	CONTRADICTED	8	8	26	26	Diacedon | Dragonwort | Fennill | Flowers of Marigold | Frankincense | Fumitary | Horehound | Ivy | Mastick | Mint | Mugwort | Penyroial | Rosemary | Saffron | Sallendine | Savin | Succory | Trifoile | black Hellebor | flowers of Perwinkle | long Aristolochy	Diacedon | Dragonwort | Fennill | Flowers of Marigold | Frankincense | Fumitary | Horehound | Ivy | Mastick | Mint | Mugwort | Penyroial | Rosemary | Saffron | Sallendine | Savin | Succory | Trifoile | black Hellebor | flowers of Perwinkle | long Aristolochy	0
IT2a|f107r|f107r.1-f107r.3|MATERIAL|REVERSED|ALL_TREE_NODES	IT2a	f107r	MATERIAL	REVERSED	ALL_TREE_NODES	34	CONTRADICTED	7	7	27	27	Bur | Comfrey | Diacedon | Fennill | Frankincense | Fumitary | Henbane | Horehound | Ivy | Majoram | Mandrake | Matry-silva | Milky Thistle | Mint | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Rosemary | Sage | Succory | Trifoile | flowers of Perwinkle | root of Mandrake	Bur | Comfrey | Diacedon | Fennill | Frankincense | Fumitary | Henbane | Horehound | Ivy | Majoram | Mandrake | Matry-silva | Milky Thistle | Mint | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Rosemary | Sage | Succory | Trifoile | flowers of Perwinkle | root of Mandrake	0
IT2a|f107r|f107r.1-f107r.3|PLANT_IDENTITY|ORIGINAL|ALL_TREE_NODES	IT2a	f107r	PLANT_IDENTITY	ORIGINAL	ALL_TREE_NODES	32	CONTRADICTED	6	6	26	26	Diacedon | Dragonwort | Fennill | Frankincense | Fumitary | Horehound | Ivy | Mandrake | Marigold | Mastick | Mint | Mugwort | Penyroial | Perwinkle | Rosemary | Saffron | Sallendine | Savin | Succory | Trifoile | black Hellebor | long Aristolochy	Diacedon | Dragonwort | Fennill | Frankincense | Fumitary | Horehound | Ivy | Mandrake | Marigold | Mastick | Mint | Mugwort | Penyroial | Perwinkle | Rosemary | Saffron | Sallendine | Savin | Succory | Trifoile | black Hellebor | long Aristolochy	0
IT2a|f107r|f107r.1-f107r.3|PLANT_IDENTITY|REVERSED|ALL_TREE_NODES	IT2a	f107r	PLANT_IDENTITY	REVERSED	ALL_TREE_NODES	32	CONTRADICTED	7	7	25	25	Bur | Comfrey | Diacedon | Fennill | Frankincense | Fumitary | Henbane | Horehound | Ivy | Majoram | Mandrake | Matry-silva | Milky Thistle | Mint | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Rosemary | Sage | Succory | Trifoile	Bur | Comfrey | Diacedon | Fennill | Frankincense | Fumitary | Henbane | Horehound | Ivy | Majoram | Mandrake | Matry-silva | Milky Thistle | Mint | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Rosemary | Sage | Succory | Trifoile	0
IT2a|f107v|f107v.1-f107v.4|MATERIAL|ORIGINAL|ALL_TREE_NODES	IT2a	f107v	MATERIAL	ORIGINAL	ALL_TREE_NODES	34	CONTRADICTED	9	9	25	25	Bur | Comfrey | Fumitary | Henbane | Ivy | Mandrake | Matry-silva | Milky Thistle | Mugwort | Perwinkle | Plantain | Quadraginus | Rosemary | Saffron | Sage | Succory | Trifoile | long Aristolochy	Bur | Comfrey | Fumitary | Henbane | Ivy | Mandrake | Matry-silva | Milky Thistle | Mugwort | Perwinkle | Plantain | Quadraginus | Rosemary | Saffron | Sage | Succory | Trifoile | long Aristolochy	0
IT2a|f107v|f107v.1-f107v.4|MATERIAL|REVERSED|ALL_TREE_NODES	IT2a	f107v	MATERIAL	REVERSED	ALL_TREE_NODES	34	CONTRADICTED	9	9	25	25	Diacedon | Dragonwort | Fennill | Flowers of Marigold | Frankincense | Horehound | Mandrake | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Saffron | Sallendine | Savin | Succory | Trifoile | long Aristolochy	Diacedon | Dragonwort | Fennill | Flowers of Marigold | Frankincense | Horehound | Mandrake | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Saffron | Sallendine | Savin | Succory | Trifoile | long Aristolochy	0
IT2a|f107v|f107v.1-f107v.4|PLANT_IDENTITY|ORIGINAL|ALL_TREE_NODES	IT2a	f107v	PLANT_IDENTITY	ORIGINAL	ALL_TREE_NODES	32	CONTRADICTED	8	8	24	24	Bur | Comfrey | Fumitary | Henbane | Ivy | Mandrake | Matry-silva | Milky Thistle | Mugwort | Perwinkle | Plantain | Quadraginus | Rosemary | Saffron | Sage | Succory | Trifoile | long Aristolochy	Bur | Comfrey | Fumitary | Henbane | Ivy | Mandrake | Matry-silva | Milky Thistle | Mugwort | Perwinkle | Plantain | Quadraginus | Rosemary | Saffron | Sage | Succory | Trifoile | long Aristolochy	0
