surface	gdt788_prior_mask	ar_or_rn_tail_union	ar_lineage	excluded_from_semantic_neighbours	excluded_from_learned_whole_donors	component_export_credit
chekair	0	1	0	1	1	0
chekal	1	0	0	1	1	0
chekar	1	1	0	1	1	0
chekoal	1	0	0	1	1	0
chekody	1	0	0	1	1	0
chelal	1	0	0	1	1	0
cheoaiin	0	1	0	1	1	0
cheoal	1	0	0	1	1	0
cheoar	1	1	0	1	1	0
cheodadaiin	0	1	0	1	1	0
cheodaiiin	0	1	0	1	1	0
cheodaiin	0	1	0	1	1	0
cheodain	0	1	0	1	1	0
cheodal	1	0	0	1	1	0
cheodar	1	1	0	1	1	0
cheodor	0	1	0	1	1	0
cheoekar	1	1	0	1	1	0
cheokaiin	0	1	0	1	1	0
cheokain	1	1	0	1	1	0
cheokal	1	0	0	1	1	0
cheokeain	0	1	0	1	1	0
cheokor	0	1	0	1	1	0
cheolchal	1	0	0	1	1	0
cheolchear	1	1	0	1	1	0
cheoldain	0	1	0	1	1	0
cheolkaiin	1	1	0	1	1	0
cheolkain	0	1	0	1	1	0
cheolor	0	1	0	1	1	0
cheoltain	0	1	0	1	1	0
cheoltar	1	1	0	1	1	0
cheoltchedaiin	0	1	0	1	1	0
cheoor	0	1	0	1	1	0
cheopaiin	0	1	0	1	1	0
cheor	0	1	0	1	1	0
cheoraiin	0	1	0	1	1	0
cheosaiin	0	1	0	1	1	0
cheotaiin	0	1	0	1	1	0
cheotain	0	1	0	1	1	0
cheotar	1	1	0	1	1	0
cheotchar	1	1	0	1	1	0
cheotchey	1	0	0	1	1	0
chepaiin	0	1	0	1	1	0
chepar	1	1	0	1	1	0
chepchar	1	1	0	1	1	0
chery	1	0	0	1	1	0
chetaiin	0	1	0	1	1	0
chetain	0	1	0	1	1	0
chetan	0	1	0	1	1	0
chetar	1	1	0	1	1	0
chetchaiin	0	1	0	1	1	0
chetedar	1	1	0	1	1	0
chetydar	1	1	0	1	1	0
cheychear	1	1	0	1	1	0
cheykaiin	0	1	0	1	1	0
cheykain	0	1	0	1	1	0
cheyor	0	1	0	1	1	0
cheyqytaiin	0	1	0	1	1	0
cheytain	0	1	0	1	1	0
chfaiin	0	1	0	1	1	0
chforaiin	0	1	0	1	1	0
chkag	1	0	0	1	1	0
chkaidararal	1	0	0	1	1	0
chkaiin	0	1	0	1	1	0
chkain	0	1	0	1	1	0
chkal	1	0	0	1	1	0
chkar	1	1	0	1	1	0
chkchean	0	1	0	1	1	0
chkeaiin	0	1	0	1	1	0
chkear	1	1	0	1	1	0
chkeor	0	1	0	1	1	0
chkodal	1	0	0	1	1	0
chkor	0	1	0	1	1	0
chky	1	0	0	1	1	0
chlaiiin	0	1	0	1	1	0
chlal	1	0	0	1	1	0
chlar	1	1	0	1	1	0
chldaiin	0	1	0	1	1	0
chlor	0	1	0	1	1	0
choaiin	0	1	0	1	1	0
choal	1	0	0	1	1	0
choar	1	1	0	1	1	0
chocfhor	0	1	0	1	1	0
chochar	1	1	0	1	1	0
chochor	0	1	0	1	1	0
chockhar	1	1	0	1	1	0
chocphar	1	1	0	1	1	0
chodaal	1	0	0	1	1	0
chodaiin	0	1	0	1	1	0
chodain	0	1	0	1	1	0
chodair	0	1	0	1	1	0
chodal	1	0	0	1	1	0
chodar	1	1	0	1	1	0
choddal	1	0	0	1	1	0
choees	1	0	0	1	1	0
chokaiin	0	1	0	1	1	0
chokain	0	1	0	1	1	0
chokal	1	0	0	1	1	0
chokan	1	1	0	1	1	0
chokar	1	1	0	1	1	0
chokchaiin	0	1	0	1	1	0
chokchodaiin	0	1	0	1	1	0
chokchor	0	1	0	1	1	0
chokeal	1	0	0	1	1	0
chokedair	0	1	0	1	1	0
chokedal	1	0	0	1	1	0
chokeor	0	1	0	1	1	0
chokoaiin	0	1	0	1	1	0
