locus	selected_path_id	source	segmentation	rule
f100r.1	f100r.1|P01	chosaroshol	chosaroshol	source-symbol stream
f100r.10	f100r.10|P01	dakocth	dakocth	source-symbol stream
f100r.11	f100r.11|P01	sofam	sofam	source-symbol stream
f100r.12	f100r.12|P01	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol | sheod | qocpheeckhy | shodol | da | oto | choos | sheey | cho | s	source-symbol stream
f100r.13	f100r.13|P01	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol	dsheor | cthey | qokeey | oteey | ykeeodain | rorarydaiin | daiin | deeomchol	source-symbol stream
f100r.14	f100r.14|P01	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	shor | chkeey | qoteey | qokeody | qoteold | qokeol | so | raiin | otal | ykeeeo	source-symbol stream
f100r.15	f100r.15|P01	dcheor shol qokeeol chor chol qokeeody dareu	dcheor | shol | qokeeol | chor | chol | qokeeody | dareu	source-symbol stream
f100r.16	f100r.16|P01	okeeos	okeeos	source-symbol stream
f100r.17	f100r.17|P01	shockhey	shockhey	source-symbol stream
f100r.18	f100r.18|P01	orol	orol	source-symbol stream
f100r.19	f100r.19|P01	olcheom	olcheom	source-symbol stream
f100r.2	f100r.2|P01	sochorcfhy	sochorcfhy	source-symbol stream
f100r.20	f100r.20|P01	oteol	oteol	source-symbol stream
f100r.21	f100r.21|P01	okols	okols	source-symbol stream
f100r.22	f100r.22|P01	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	folshody | choldaiin | fchod | ycheol | cphol | qotees | shey | aseso | alcfhy	source-symbol stream
f100r.23	f100r.23|P01	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	soiin | chol | cphol | shol | shol | qockhol | chor | chol | sho | keey | y | ykeeam	source-symbol stream
f100r.24	f100r.24|P01	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	saiichor | sheor | qockhody | odeor | yk | sheey | cholsheody | sai | cheol | raiin	source-symbol stream
f100r.25	f100r.25|P01	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor | qkeeody | chol | daiin | ctheol | olcheol | cheky | cheol | cheockhy | okeol	source-symbol stream
f100r.26	f100r.26|P01	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	yaiin | chekeey | chol | cholody | chos | olchor | qokeol | okeeol | cheols | al	source-symbol stream
f100r.27	f100r.27|P01	chol cheol cho chckheody otolchey	chol | cheol | cho | chckheody | otolchey	source-symbol stream
f100r.3	f100r.3|P01	otear	otear	source-symbol stream
f100r.4	f100r.4|P01	chofary	chofary	source-symbol stream
f100r.5	f100r.5|P01	sar char daiindy	sar | char | daiindy	source-symbol stream
f100r.6	f100r.6|P01	oraro	oraro	source-symbol stream
f100r.7	f100r.7|P01	chalsain	chalsain	source-symbol stream
f100r.8	f100r.8|P01	soity	soity	source-symbol stream
f100r.9	f100r.9|P01	sosam	sosam	source-symbol stream
f100v.1	f100v.1|P01	tolchd	tolchd	source-symbol stream
f100v.10	f100v.10|P01	okcheor	okcheor	source-symbol stream
f100v.11	f100v.11|P01	ytchol	ytchol	source-symbol stream
f100v.12	f100v.12|P01	dykchal	dykchal	source-symbol stream
f100v.13	f100v.13|P01	chos ctharal	chos | ctharal	source-symbol stream
f100v.14	f100v.14|P01	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo	deey | sheocphy | qoteody | ckhoor | ar | chor | oteey | daiin | qokomo	source-symbol stream
f100v.15	f100v.15|P01	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	sor | cheey | dair | ol | cheol | qoolkeey | chol | cheey | qokeol | chotol | s	source-symbol stream
f100v.16	f100v.16|P01	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol | chol | chey | eeoseeo | s | sheeo | okeol | ches | okeor | okeol | dy	source-symbol stream
f100v.17	f100v.17|P01	chockhey sholkcheol qokeol okol chol chotor chso solcthy	chockhey | sholkcheol | qokeol | okol | chol | chotor | chso | solcthy	source-symbol stream
f100v.18	f100v.18|P01	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	tachso | s | ol | cheo | cheeor | odaidy | ckhod | sh | chod | qokeol | sal	source-symbol stream
f100v.19	f100v.19|P01	sain cheokeos chockhy chocthey keody choor chckhey du	sain | cheokeos | chockhy | chocthey | keody | choor | chckhey | du	source-symbol stream
f100v.2	f100v.2|P01	chols	chols	source-symbol stream
f100v.20	f100v.20|P01	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	ycheoky | shokeesy | qokeey | chokeol | saraloaly | cheor | ol | chockhar	source-symbol stream
f100v.21	f100v.21|P01	soral okor ol choy ly araroy okar cheeeal cheokeol orey	soral | okor | ol | choy | ly | araroy | okar | cheeeal | cheokeol | orey	source-symbol stream
f100v.22	f100v.22|P01	daiin cheky chory	daiin | cheky | chory	source-symbol stream
f100v.3	f100v.3|P01	opchor	opchor	source-symbol stream
f100v.4	f100v.4|P01	solsy	solsy	source-symbol stream
f100v.5	f100v.5|P01	soleesos	soleesos	source-symbol stream
f100v.6	f100v.6|P01	ykchochdy	ykchochdy	source-symbol stream
f100v.7	f100v.7|P01	ykchdy	ykchdy	source-symbol stream
f100v.8	f100v.8|P01	dchdy	dchdy	source-symbol stream
f100v.9	f100v.9|P01	dalsy	dalsy	source-symbol stream
f101r.1	f101r.1|P01	pcheol sheol ol shey qockhol shor yteol sheockhey qpol chear s aiin oleeey qkeey chopcheey checkhey cpheocthy ykchy cheey chekeey dal chey	pcheol | sheol | ol | shey | qockhol | shor | yteol | sheockhey | qpol | chear | s | aiin | oleeey | qkeey | chopcheey | checkhey | cpheocthy | ykchy | cheey | chekeey | dal | chey	source-symbol stream
f101r.10	f101r.10|P01	ysho qykeeol chol sho odor dor chees ykeol chol dol kor ay ol chso sha olcheeol kolshey okeoly oiin aiioly	ysho | qykeeol | chol | sho | odor | dor | chees | ykeol | chol | dol | kor | ay | ol | chso | sha | olcheeol | kolshey | okeoly | oiin | aiioly	source-symbol stream
f101r.2	f101r.2|P01	dol chokeey chkey cthey okalchol kol o keey r or ol okol ol olchey qok chal okey qokeol kar shey teol or oiiin chol daiin	dol | chokeey | chkey | cthey | okalchol | kol | o | keey | r | or | ol | okol | ol | olchey | qok | chal | okey | qokeol | kar | shey | teol | or | oiiin | chol | daiin	source-symbol stream
f101r.3	f101r.3|P01	oleol okeor r sheol qokol shey dol shey okeey ctheey yteeoldy kchol ol sheody or ol sheor qotoiir otol sheey s sheo tchey ol dar am	oleol | okeor | r | sheol | qokol | shey | dol | shey | okeey | ctheey | yteeoldy | kchol | ol | sheody | or | ol | sheor | qotoiir | otol | sheey | s | sheo | tchey | ol | dar | am	source-symbol stream
f101r.4	f101r.4|P01	ycheeo or sheeol daiin sheeol okeol ctheol keeo qockheol daiin shy chol okeeor dy chkchol dateody okeol dairin okeey okeey dairin	ycheeo | or | sheeol | daiin | sheeol | okeol | ctheol | keeo | qockheol | daiin | shy | chol | okeeor | dy | chkchol | dateody | okeol | dairin | okeey | okeey | dairin	source-symbol stream
f101r.5	f101r.5|P01	daiin ctheol cheol okor or aiin cheol cho keeodchey okol okeol dor chol chy r aiin oteol or aiin ol chey oteeod sheol okeol chosaiin sheam	daiin | ctheol | cheol | okor | or | aiin | cheol | cho | keeodchey | okol | okeol | dor | chol | chy | r | aiin | oteol | or | aiin | ol | chey | oteeod | sheol | okeol | chosaiin | sheam	source-symbol stream
f101r.6	f101r.6|P01	okeeol sho shody sho shol okeeeol cheas sheokeey sheeor chchy chodaiin cheeckhey teeol s cheol rar oeeor	okeeol | sho | shody | sho | shol | okeeeol | cheas | sheokeey | sheeor | chchy | chodaiin | cheeckhey | teeol | s | cheol | rar | oeeor	source-symbol stream
f101r.7	f101r.7|P01	cphoar oaiin ypcholy daiin otaiin otaiin yfolaiin cheolain ypchey ody shotey odariin sheoor sheor ckheey ey qokchey cholp cheol dy	cphoar | oaiin | ypcholy | daiin | otaiin | otaiin | yfolaiin | cheolain | ypchey | ody | shotey | odariin | sheoor | sheor | ckheey | ey | qokchey | cholp | cheol | dy	source-symbol stream
f101r.8	f101r.8|P01	olaiin oteol chor oteey chokchey kor daiin shok chol chol qoky daiin ol s al ydar daiin or ory okeey daiin shey daiin okol cheor	olaiin | oteol | chor | oteey | chokchey | kor | daiin | shok | chol | chol | qoky | daiin | ol | s | al | ydar | daiin | or | ory | okeey | daiin | shey | daiin | okol | cheor	source-symbol stream
f101r.9	f101r.9|P01	daiin okeol qokcheol ykeor dar ol otechy ykeor dor aiin chl s cheol okeol shey qodar soiin choko qokeol daiin o dar okchol cheo rcheky	daiin | okeol | qokcheol | ykeor | dar | ol | otechy | ykeor | dor | aiin | chl | s | cheol | okeol | shey | qodar | soiin | choko | qokeol | daiin | o | dar | okchol | cheo | rcheky	source-symbol stream
f101v.1	f101v.1|P01	sairaly	sairaly	source-symbol stream
f101v.10	f101v.10|P01	okol	okol	source-symbol stream
f101v.11	f101v.11|P01	arom	arom	source-symbol stream
f101v.12	f101v.12|P01	oraram	oraram	source-symbol stream
f101v.13	f101v.13|P01	oraeep	oraeep	source-symbol stream
f101v.14	f101v.14|P01	dytolg	dytolg	source-symbol stream
f101v.15	f101v.15|P01	olkor	olkor	source-symbol stream
f101v.16	f101v.16|P01	dolary	dolary	source-symbol stream
f101v.17	f101v.17|P01	odor	odor	source-symbol stream
f101v.18	f101v.18|P01	olaran	olaran	source-symbol stream
f101v.19	f101v.19|P01	tolchor cheopor or ody cphey r shee fol s oiin otsheey otchy kcho pcholy chor or choror sy dorar okoraiin orolodain	tolchor | cheopor | or | ody | cphey | r | shee | fol | s | oiin | otsheey | otchy | kcho | pcholy | chor | or | choror | sy | dorar | okoraiin | orolodain	source-symbol stream
f101v.2	f101v.2|P01	otaldy	otaldy	source-symbol stream
f101v.20	f101v.20|P01	or aiin or o or odam chor s aiin okor cheeor sheeol qokol etol qoor cheey qykeod oeeo r choy s okeeody chodaiin cthy okody dar	or | aiin | or | o | or | odam | chor | s | aiin | okor | cheeor | sheeol | qokol | etol | qoor | cheey | qykeod | oeeo | r | choy | s | okeeody | chodaiin | cthy | okody | dar	source-symbol stream
f101v.21	f101v.21|P01	ycheor oo dain cheokal ody cheeods oraiin qoeey cthey eocthy dain cheod dydy	ycheor | oo | dain | cheokal | ody | cheeods | oraiin | qoeey | cthey | eocthy | dain | cheod | dydy	source-symbol stream
f101v.22	f101v.22|P01	ksear lol keeol otal or ol aiin okeod ey dain olcheol opcheol cthey qekeoldy qocthor sheody qoey odaiin shoytolaiin sodaiin dy	ksear | lol | keeol | otal | or | ol | aiin | okeod | ey | dain | olcheol | opcheol | cthey | qekeoldy | qocthor | sheody | qoey | odaiin | shoytolaiin | sodaiin | dy	source-symbol stream
f101v.23	f101v.23|P01	yaiin ol olor daiin okeey qok ykeol daiin qockhy daiin olchdar qokeol dol oraiin oldaiin keeol rch qokeeeor s ydy cheor okeey choldy dar	yaiin | ol | olor | daiin | okeey | qok | ykeol | daiin | qockhy | daiin | olchdar | qokeol | dol | oraiin | oldaiin | keeol | rch | qokeeeor | s | ydy | cheor | okeey | choldy | dar	source-symbol stream
f101v.24	f101v.24|P01	teeeol sheol qokeor ol olcho r chokey chor ctheey daiindaiin cheeody cheey keo cheol daiiin deeor cheedy	teeeol | sheol | qokeor | ol | olcho | r | chokey | chor | ctheey | daiindaiin | cheeody | cheey | keo | cheol | daiiin | deeor | cheedy	source-symbol stream
f101v.25	f101v.25|P01	daiin dair yteol chor qockhol daiin ckheey chey kchey daoiin okeey ckheo l cheody kcheol daiin eteeos ctheody ctheo ckhosh olchor	daiin | dair | yteol | chor | qockhol | daiin | ckheey | chey | kchey | daoiin | okeey | ckheo | l | cheody | kcheol | daiin | eteeos | ctheody | ctheo | ckhosh | olchor	source-symbol stream
f101v.26	f101v.26|P01	olaiin okeol cheo kol ches sheey qoor qokeody cheor okeo oiin cheey cthey ory ctheey qokeey shol ody cheol oralar shey qokar ary	olaiin | okeol | cheo | kol | ches | sheey | qoor | qokeody | cheor | okeo | oiin | cheey | cthey | ory | ctheey | qokeey | shol | ody | cheol | oralar | shey | qokar | ary	source-symbol stream
f101v.27	f101v.27|P01	sal chol choly okeey dal qol shckheol chol cthear keeol cheeo ol chs oraiin qokeeey soiin qodaiin cheol qokeey daiin cheodam	sal | chol | choly | okeey | dal | qol | shckheol | chol | cthear | keeol | cheeo | ol | chs | oraiin | qokeeey | soiin | qodaiin | cheol | qokeey | daiin | cheodam	source-symbol stream
f101v.28	f101v.28|P01	teol cheol etchey cheo r cheol cthol cholaiin chol qkar	teol | cheol | etchey | cheo | r | cheol | cthol | cholaiin | chol | qkar	source-symbol stream
f101v.3	f101v.3|P01	otol	otol	source-symbol stream
f101v.4	f101v.4|P01	ytal	ytal	source-symbol stream
f101v.5	f101v.5|P01	dokor	dokor	source-symbol stream
f101v.6	f101v.6|P01	orar	orar	source-symbol stream
f101v.7	f101v.7|P01	otarar	otarar	source-symbol stream
f101v.8	f101v.8|P01	otoly	otoly	source-symbol stream
f101v.9	f101v.9|P01	soraly	soraly	source-symbol stream
f102r1.1	f102r1.1|P01	daarod	daarod	source-symbol stream
f102r1.10	f102r1.10|P01	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy	ycheol | sholdy | chol | chol | ykeeol | dol | doleodaiin | dal | cthedy	source-symbol stream
f102r1.11	f102r1.11|P01	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	dcheo | qockhy | sol | sheey | okeody | qokeodol | shockhey | oleeol	source-symbol stream
f102r1.12	f102r1.12|P01	ddardsh	ddardsh	source-symbol stream
f102r1.13	f102r1.13|P01	teesody qoeol olcheor qokey okshey qokeol sheofoly	teesody | qoeol | olcheor | qokey | okshey | qokeol | sheofoly	source-symbol stream
f102r1.14	f102r1.14|P01	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	doeey | keeol | qokeo | daor | shey | qoteol | okol | chos | s | or | oeeaiin	source-symbol stream
f102r1.15	f102r1.15|P01	or chol daiin dykeor sheey qokeody dor os ykeeykam	or | chol | daiin | dykeor | sheey | qokeody | dor | os | ykeeykam	source-symbol stream
f102r1.16	f102r1.16|P01	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	ddor | chordam | soraiin | ykeey | dy | okeol | doeoear | s | aral | dor	source-symbol stream
f102r1.17	f102r1.17|P01	ydar arody oldaiin sody chockhy oly	ydar | arody | oldaiin | sody | chockhy | oly	source-symbol stream
f102r1.2	f102r1.2|P01	otodeeodor	otodeeodor	source-symbol stream
f102r1.3	f102r1.3|P01	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin	polaiin | shocthy | qoteol | loiiin | oteeor | cpheodar | sholdaiin	source-symbol stream
f102r1.4	f102r1.4|P01	dsheody okeeoy kod chkeeody daraiiin ctheoly qokcheololain	dsheody | okeeoy | kod | chkeeody | daraiiin | ctheoly | qokcheololain	source-symbol stream
f102r1.5	f102r1.5|P01	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol | sheol | she | olaiin | orain | oraroekeol | chol | ekey | qokol | dain	source-symbol stream
f102r1.6	f102r1.6|P01	daiin ykeeol oldy okodaiin	daiin | ykeeol | oldy | okodaiin	source-symbol stream
f102r1.7	f102r1.7|P01	okolaly	okolaly	source-symbol stream
f102r1.8	f102r1.8|P01	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	pshodaiin | qoorar | chopy | chofol | daiin | oteol | qoteol | doly	source-symbol stream
f102r1.9	f102r1.9|P01	daiin orsheoldy qokeol oteeody lshodykeodal qokshdy sy	daiin | orsheoldy | qokeol | oteeody | lshodykeodal | qokshdy | sy	source-symbol stream
f102r2.1	f102r2.1|P01	kodaiig	kodaiig	source-symbol stream
f102r2.10	f102r2.10|P01	shockhy qockhey sol eeey dol cheol doaiin qkeeey cthey	shockhy | qockhey | sol | eeey | dol | cheol | doaiin | qkeeey | cthey	source-symbol stream
f102r2.11	f102r2.11|P01	kockhas okor ykeey okeey qokeey dol ol sheody okey da l y	kockhas | okor | ykeey | okeey | qokeey | dol | ol | sheody | okey | da | l | y	source-symbol stream
f102r2.12	f102r2.12|P01	ytchy o l ockhy okeey cheody saiin dol ockhy okeady	ytchy | o | l | ockhy | okeey | cheody | saiin | dol | ockhy | okeady	source-symbol stream
f102r2.13	f102r2.13|P01	loeekadag	loeekadag	source-symbol stream
f102r2.14	f102r2.14|P01	osheal	osheal	source-symbol stream
f102r2.15	f102r2.15|P01	sodch	sodch	source-symbol stream
f102r2.16	f102r2.16|P01	ol dody cthol soeees ykeody qokeey qotchy soefchocphy	ol | dody | cthol | soeees | ykeody | qokeey | qotchy | soefchocphy	source-symbol stream
f102r2.17	f102r2.17|P01	ykeockhey okey qokeeo ckhey qokey desey qyoeey dol chkey choky	ykeockhey | okey | qokeeo | ckhey | qokey | desey | qyoeey | dol | chkey | choky	source-symbol stream
f102r2.18	f102r2.18|P01	otol shey qockhey dol shey dol sheey qokol daiin oky oky	otol | shey | qockhey | dol | shey | dol | sheey | qokol | daiin | oky | oky	source-symbol stream
f102r2.19	f102r2.19|P01	qokeod okeal okeo l y cheo ckhey qody qokey ody keeody chody	qokeod | okeal | okeo | l | y | cheo | ckhey | qody | qokey | ody | keeody | chody	source-symbol stream
f102r2.2	f102r2.2|P01	lsais azg cheey cfhey por aiin chefol y	lsais | azg | cheey | cfhey | por | aiin | chefol | y	source-symbol stream
f102r2.20	f102r2.20|P01	ykeey keeol cheos ydeeal cheody ykeea d o lchey	ykeey | keeol | cheos | ydeeal | cheody | ykeea | d | o | lchey	source-symbol stream
f102r2.21	f102r2.21|P01	koldarod	koldarod	source-symbol stream
f102r2.22	f102r2.22|P01	odalydary	odalydary	source-symbol stream
f102r2.3	f102r2.3|P01	ycheor olaiin olsho qokol olaiin oldam	ycheor | olaiin | olsho | qokol | olaiin | oldam	source-symbol stream
f102r2.4	f102r2.4|P01	daiin ckheeol oldor okol cheodor sor airam	daiin | ckheeol | oldor | okol | cheodor | sor | airam	source-symbol stream
f102r2.5	f102r2.5|P01	tor sheo or chey qoor yteor chol choky	tor | sheo | or | chey | qoor | yteor | chol | choky	source-symbol stream
f102r2.6	f102r2.6|P01	daiin okody qokeody okeol dor chckhy oteod s orsy	daiin | okody | qokeody | okeol | dor | chckhy | oteod | s | orsy	source-symbol stream
f102r2.7	f102r2.7|P01	okrolda	okrolda	source-symbol stream
f102r2.8	f102r2.8|P01	kolor olaiin opor shey opolkod odain sheo qoeol shey	kolor | olaiin | opor | shey | opolkod | odain | sheo | qoeol | shey	source-symbol stream
f102r2.9	f102r2.9|P01	dor oiin okeody qokeol sheoy qoochey ckheol sheey skeekyd	dor | oiin | okeody | qokeol | sheoy | qoochey | ckheol | sheey | skeekyd	source-symbol stream
f102v1.1	f102v1.1|P01	keoraiiin	keoraiiin	source-symbol stream
f102v1.10	f102v1.10|P01	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	kochor | ol | ydaiin | choraiin | sheey | ykeey | kor | shey | qokey | dy	source-symbol stream
f102v1.11	f102v1.11|P01	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	sol | chol | qooiin | qokol | cheol | chey | kolcheey | daiin | cheody | dy	source-symbol stream
f102v1.12	f102v1.12|P01	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	y | cheol | cheol | doiir | shekcheor | s | ar | cheor | ey | pchodaiin	source-symbol stream
f102v1.13	f102v1.13|P01	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	toiin | ol | daiin | qkol | cheol | daiin | qokar | oaiin | cheey | saiim	source-symbol stream
f102v1.14	f102v1.14|P01	chor cheor ckhey oteol aeky	chor | cheor | ckhey | oteol | aeky	source-symbol stream
f102v1.15	f102v1.15|P01	dindy	dindy	source-symbol stream
f102v1.16	f102v1.16|P01	ypcholdy	ypcholdy	source-symbol stream
f102v1.17	f102v1.17|P01	loralody	loralody	source-symbol stream
f102v1.18	f102v1.18|P01	opchdard	opchdard	source-symbol stream
f102v1.19	f102v1.19|P01	foidaiin dair or sheol okeeol qoteol oroey olkey	foidaiin | dair | or | sheol | okeeol | qoteol | oroey | olkey	source-symbol stream
f102v1.2	f102v1.2|P01	okeody	okeody	source-symbol stream
f102v1.20	f102v1.20|P01	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	soiin | shey | qokeey | qoeeol | qokeody | sheody | qoeteey | okeey | dam	source-symbol stream
f102v1.21	f102v1.21|P01	qoeeody ychey okeody deody okody cheodaiin cheody ram	qoeeody | ychey | okeody | deody | okody | cheodaiin | cheody | ram	source-symbol stream
f102v1.22	f102v1.22|P01	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	ykeeody | chodaiin | qokeos | cheol | qool | chsey | oteody | okchy	source-symbol stream
f102v1.23	f102v1.23|P01	ksheody sho qokey sheody qockhey olcheor odain okchody	ksheody | sho | qokey | sheody | qockhey | olcheor | odain | okchody	source-symbol stream
f102v1.24	f102v1.24|P01	ysaiin ckhey qoor cheol	ysaiin | ckhey | qoor | cheol	source-symbol stream
f102v1.3	f102v1.3|P01	okeody	okeody	source-symbol stream
f102v1.4	f102v1.4|P01	daiisaly	daiisaly	source-symbol stream
f102v1.5	f102v1.5|P01	ypary	ypary	source-symbol stream
f102v1.6	f102v1.6|P01	opchyt	opchyt	source-symbol stream
f102v1.7	f102v1.7|P01	poaiin ockhey pchol doiin shey shockhsy sheocthy qokeody	poaiin | ockhey | pchol | doiin | shey | shockhsy | sheocthy | qokeody	source-symbol stream
f102v1.8	f102v1.8|P01	dairn ol chey ctheol qokeor os aiin cheor qokey choky	dairn | ol | chey | ctheol | qokeor | os | aiin | cheor | qokey | choky	source-symbol stream
f102v1.9	f102v1.9|P01	teody ckheey qokeol sheky qockheor or cheo rchol qoteor dar	teody | ckheey | qokeol | sheky | qockheor | or | cheo | rchol | qoteor | dar	source-symbol stream
f102v2.1	f102v2.1|P01	porshols	porshols	source-symbol stream
f102v2.10	f102v2.10|P01	okody	okody	source-symbol stream
f102v2.11	f102v2.11|P01	cheor	cheor	source-symbol stream
f102v2.12	f102v2.12|P01	okoroeey	okoroeey	source-symbol stream
f102v2.13	f102v2.13|P01	opchy	opchy	source-symbol stream
f102v2.14	f102v2.14|P01	sarol	sarol	source-symbol stream
f102v2.15	f102v2.15|P01	olrodar	olrodar	source-symbol stream
f102v2.16	f102v2.16|P01	tod	tod	source-symbol stream
f102v2.17	f102v2.17|P01	podeesho oteeos sheor qoteeo ch y shkeey chekeod	podeesho | oteeos | sheor | qoteeo | ch | y | shkeey | chekeod	source-symbol stream
f102v2.18	f102v2.18|P01	ocheos chyokeor okeol okeol shy y	ocheos | chyokeor | okeol | okeol | shy | y	source-symbol stream
f102v2.19	f102v2.19|P01	deeeo qoeeor o eoy cheos o l o r o l okeeos ain	deeeo | qoeeor | o | eoy | cheos | o | l | o | r | o | l | okeeos | ain	source-symbol stream
f102v2.2	f102v2.2|P01	soaimy	soaimy	source-symbol stream
f102v2.20	f102v2.20|P01	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	qokeor | cho | keeol | okeeey | qokeody | chockhey | qokeey | dol | ol | sheeoy | tody | cheoc	source-symbol stream
f102v2.21	f102v2.21|P01	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	ycheey | s | od | eey | okeeor | cheol | os | oiin | oeees | okear | chey | keey | saiin | oteo	source-symbol stream
f102v2.22	f102v2.22|P01	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	dain | or | aiin | cheol | s | oiir | chol | sheey | qockhy | ol | keo | r | okeody | okeor | cho	source-symbol stream
f102v2.23	f102v2.23|P01	okey okey shey okey oiees or eey	okey | okey | shey | okey | oiees | or | eey	source-symbol stream
f102v2.24	f102v2.24|P01	okolky	okolky	source-symbol stream
f102v2.25	f102v2.25|P01	osain	osain	source-symbol stream
f102v2.26	f102v2.26|P01	aiky	aiky	source-symbol stream
f102v2.27	f102v2.27|P01	okeeoraiin	okeeoraiin	source-symbol stream
f102v2.28	f102v2.28|P01	okockhy	okockhy	source-symbol stream
f102v2.29	f102v2.29|P01	os	os	source-symbol stream
f102v2.3	f102v2.3|P01	oror	oror	source-symbol stream
f102v2.30	f102v2.30|P01	pydchy odiy pcheady qoekeey oteey qokeod sheey opaiin deear	pydchy | odiy | pcheady | qoekeey | oteey | qokeod | sheey | opaiin | deear	source-symbol stream
f102v2.31	f102v2.31|P01	oldeey ckhy sheeody eeos sheshe oeeor ykeear chekeey ykory	oldeey | ckhy | sheeody | eeos | sheshe | oeeor | ykeear | chekeey | ykory	source-symbol stream
f102v2.32	f102v2.32|P01	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	dar | cheor | shoar | okeol | shoy | s | ar | oky | cheeor | ol | daiin | sy	source-symbol stream
f102v2.33	f102v2.33|P01	qokeor sho keeeos cheor o s al chos aiiin o ky okaraiin	qokeor | sho | keeeos | cheor | o | s | al | chos | aiiin | o | ky | okaraiin	source-symbol stream
f102v2.34	f102v2.34|P01	sorshey okeeor sheockhey qokeos okchol ctheor okey sal	sorshey | okeeor | sheockhey | qokeos | okchol | ctheor | okey | sal	source-symbol stream
f102v2.35	f102v2.35|P01	ychor sheol por sheeor shekeey qoky cheo teody qokeol daiin	ychor | sheol | por | sheeor | shekeey | qoky | cheo | teody | qokeol | daiin	source-symbol stream
f102v2.36	f102v2.36|P01	okeeor cheey okeey sor eeey okey okey okeey qokeor	okeeor | cheey | okeey | sor | eeey | okey | okey | okeey | qokeor	source-symbol stream
f102v2.37	f102v2.37|P01	tchor ar chey kor or cthey qoeeey qokeey okeoroly sar	tchor | ar | chey | kor | or | cthey | qoeeey | qokeey | okeoroly | sar	source-symbol stream
f102v2.38	f102v2.38|P01	dar cheey ckheey qokeor okey chos sho ykeey okeeo rain	dar | cheey | ckheey | qokeor | okey | chos | sho | ykeey | okeeo | rain	source-symbol stream
f102v2.39	f102v2.39|P01	yotaiin cheor cheekey orain	yotaiin | cheor | cheekey | orain	source-symbol stream
f102v2.4	f102v2.4|P01	chor	chor	source-symbol stream
f102v2.5	f102v2.5|P01	sachy	sachy	source-symbol stream
f102v2.6	f102v2.6|P01	okeos	okeos	source-symbol stream
f102v2.7	f102v2.7|P01	okol	okol	source-symbol stream
f102v2.8	f102v2.8|P01	otory	otory	source-symbol stream
f102v2.9	f102v2.9|P01	ok	ok	source-symbol stream
f103r.1	f103r.1|P01	pchedal shdy ytechypchy otey lshey qoteey qotal shedy yshdal dain okal daldy	pchedal | shdy | ytechypchy | otey | lshey | qoteey | qotal | shedy | yshdal | dain | okal | daldy	source-symbol stream
f103r.10	f103r.10|P01	daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain	daiin | ol | oain | okeol | chol | okam | chety | shedy | otaiin | shedy | teolshy | oteedy | sor | ain	source-symbol stream
f103r.11	f103r.11|P01	dar oteey otain lolshedy okain chey qorain shey otoy qokeol key dayky	dar | oteey | otain | lolshedy | okain | chey | qorain | shey | otoy | qokeol | key | dayky	source-symbol stream
f103r.12	f103r.12|P01	oain shey shckhy oteey qokeol keedy shar aiin otedy	oain | shey | shckhy | oteey | qokeol | keedy | shar | aiin | otedy	source-symbol stream
f103r.13	f103r.13|P01	podar sheor qotedy okeey qokar checkhy qokain chedy pchdy tshdy dal kasol	podar | sheor | qotedy | okeey | qokar | checkhy | qokain | chedy | pchdy | tshdy | dal | kasol	source-symbol stream
f103r.14	f103r.14|P01	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	okain | shekain | chedy | qokeechy | qoky | shey | lol | s | aiin | chey | eekain | chcthy | qoky	source-symbol stream
