locus	selected_path_id	source	segmentation	rule
f82v.45	f82v.45|P01	okoldy	okoldy	source-symbol stream
f82v.46	f82v.46|P01	olkol	olkol	source-symbol stream
f82v.47	f82v.47|P01	otedol	otedol	source-symbol stream
f82v.48	f82v.48|P01	oteedy	oteedy	source-symbol stream
f82v.5	f82v.5|P01	tokol olfchedy qokeedy qokedal shol qotal otdal dal olshedy	tokol | olfchedy | qokeedy | qokedal | shol | qotal | otdal | dal | olshedy	source-symbol stream
f82v.6	f82v.6|P01	qokedy lshedy qotol dol shedy shedy dy darotedy chetedy lokam	qokedy | lshedy | qotol | dol | shedy | shedy | dy | darotedy | chetedy | lokam	source-symbol stream
f82v.7	f82v.7|P01	dair o l chedy qotedy qotedy chsdy qotal qoty qokal qokedy lo	dair | o | l | chedy | qotedy | qotedy | chsdy | qotal | qoty | qokal | qokedy | lo	source-symbol stream
f82v.8	f82v.8|P01	qokain sheol qoteedy chedy qokey qokedy qokol chedy chedy lchy	qokain | sheol | qoteedy | chedy | qokey | qokedy | qokol | chedy | chedy | lchy	source-symbol stream
f82v.9	f82v.9|P01	solshedy lchedy dolshedy qokal sheckhy shey teeol oteedy qokedy	solshedy | lchedy | dolshedy | qokal | sheckhy | shey | teeol | oteedy | qokedy	source-symbol stream
f83r.1	f83r.1|P01	tchedy lpchedy opedy chepol pchedar shedy qopchedy	tchedy | lpchedy | opedy | chepol | pchedar | shedy | qopchedy	source-symbol stream
f83r.10	f83r.10|P01	olkeey rchs cheeb ols aiin skal dain cthal s aiin chky lal sam	olkeey | rchs | cheeb | ols | aiin | skal | dain | cthal | s | aiin | chky | lal | sam	source-symbol stream
f83r.11	f83r.11|P01	sor shedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo	sor | shedy | qokaiin | chkain | shcthey | qokedy | okair | sheedy | lchedy | lo	source-symbol stream
f83r.12	f83r.12|P01	qockhol sheckhy otal qokeal sheckhdy al okedy qokedy qokal	qockhol | sheckhy | otal | qokeal | sheckhdy | al | okedy | qokedy | qokal	source-symbol stream
f83r.13	f83r.13|P01	salcheol tar shedy s altedy sair qokedy qedy lchcphedy ldar	salcheol | tar | shedy | s | altedy | sair | qokedy | qedy | lchcphedy | ldar	source-symbol stream
f83r.14	f83r.14|P01	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	qokchedy | qokeedy | shedy | qokshedy | dal | lchedy | qokaiin | shcthy | dal | sy	source-symbol stream
f83r.15	f83r.15|P01	saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	saiin | shedal | shecthy | chey | tal | shcthy | dalchdy | qotchedy | lchedy	source-symbol stream
f83r.16	f83r.16|P01	tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror	tchedy | qokchdy | cheedar | chldaiin | chedy | qokain | checthy | chealror	source-symbol stream
f83r.17	f83r.17|P01	dcheokedy lkeed shckhey ytaiin shechy schety	dcheokedy | lkeed | shckhey | ytaiin | shechy | schety	source-symbol stream
f83r.18	f83r.18|P01	pdalshdy shocphedy otor shedy opshedy otshdy qokedol shdy soldy	pdalshdy | shocphedy | otor | shedy | opshedy | otshdy | qokedol | shdy | soldy	source-symbol stream
f83r.19	f83r.19|P01	sar shedaiin ockhey sain ched shedy qetal dal shedy shey lchedy	sar | shedaiin | ockhey | sain | ched | shedy | qetal | dal | shedy | shey | lchedy	source-symbol stream
f83r.2	f83r.2|P01	sol cheey qokaiin shol lchs shey qoteedy rches ar chedy dor	sol | cheey | qokaiin | shol | lchs | shey | qoteedy | rches | ar | chedy | dor	source-symbol stream
f83r.20	f83r.20|P01	solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin	solkeedy | qoteedy | qokeey | qokedy | sol | cheeety | qokedy | qoky | saiin	source-symbol stream
