world	nonwrapper_gain	full_gain	max_two_gain
4073	-9.743217494	-69.887532099	-9.743217494
4074	7.543016363	-79.807490102	7.543016363
4075	-1.893749626	-95.666420192	-1.893749626
4076	-1.536730772	-89.865311985	-1.536730772
4077	-0.855388066	-90.338953428	-0.855388066
4078	5.801591816	-55.839835421	5.801591816
4079	15.523236707	-37.402696159	15.523236707
4080	-1.987281745	-97.935744294	-1.987281745
4081	14.605724495	-41.443634273	14.605724495
4082	-0.710970749	-55.301375253	-0.710970749
4083	16.191583529	-16.497571016	16.191583529
4084	-2.355916735	-60.472904231	-2.355916735
4085	15.953948628	-51.032559767	15.953948628
4086	7.755900554	-76.991768899	7.755900554
4087	6.639926033	-65.956563061	6.639926033
4088	7.493465245	-79.095469199	7.493465245
4089	-9.912356485	-75.875347078	-9.912356485
4090	6.840534699	-34.133738385	6.840534699
4091	5.812145225	-61.943424263	5.812145225
4092	16.416734594	-27.656963697	16.416734594
4093	6.148402783	-52.343010515	6.148402783
4094	5.935644740	-61.639472751	5.935644740
