language	unit	held_occurrences	modal_category	category_consensus_fraction	modal_output	exact_mapping_consensus_fraction	all_categories	all_outputs
latin	v	0	L	0.8333333333333334	m	0.3333333333333333	L,L,D,L,L,L	x,m,tt,l,m,v
latin	edy	253	L	0.6666666666666666	i	0.3333333333333333	L,L,S,L,S,L	i,t,res,i,ent,t
latin	olk	152	L	0.6666666666666666	s	0.3333333333333333	L,L,S,S,L,L	s,e,ner,ar,s,e
latin	qokEy	134	L	0.6666666666666666	l	0.3333333333333333	L,L,L,L,D,D	l,l,c,m,cc,cc
latin	Ky	120	L	0.6666666666666666	a	0.3333333333333333	S,L,L,L,S,L	tur,a,m,t,non,a
latin	yt	90	L	0.6666666666666666	e	0.3333333333333333	S,L,N,L,L,L	de,e,,s,s,e
latin	q	71	L	0.6666666666666666	d	0.3333333333333333	S,L,L,L,L,S	in,s,i,d,d,eti
latin	ky	69	L	0.6666666666666666	i	0.3333333333333333	L,L,L,S,S,L	t,a,i,us,que,i
latin	Sol	51	S	0.6666666666666666	ii	0.3333333333333333	S,D,S,S,D,S	ac,ii,sar,que,ii,se
latin	F	13	L	0.6666666666666666		0.3333333333333333	N,L,L,N,L,L	,i,s,,n,u
latin	l	524	S	0.5		0.3333333333333333	N,N,S,S,W,S	,,ari,qui,caesar,qui
latin	qot	353	S	0.5	s	0.3333333333333333	S,S,N,L,L,S	non,res,,s,s,era
latin	yk	149	L	0.5	s	0.3333333333333333	L,L,N,S,S,L	s,s,,mis,ess,e
latin	qokEdy	105	L	0.5	c	0.3333333333333333	L,D,L,D,L,D	c,cc,c,cc,l,ii
latin	os	86	L	0.5	t	0.3333333333333333	L,S,L,S,S,L	t,ter,t,ati,nis,a
latin	So	76	S	0.5	a	0.3333333333333333	S,S,L,L,L,S	tri,ad,a,a,e,men
latin	qokedy	62	D	0.5	xx	0.3333333333333333	D,L,L,D,D,L	xx,c,l,ii,xx,p
latin	Ceol	77	D	0.3333333333333333	ii	0.3333333333333333	D,S,D,L,L,S	ii,tem,ii,a,a,iis
latin	C	711	W	1.0	habebat	0.16666666666666666	W,W,W,W,W,W	habebat,civitates,nostrorum,legiones,caesare,castris
latin	d	597	W	1.0	exercitum	0.16666666666666666	W,W,W,W,W,W	exercitum,exercitus,celeriter,civitates,quibus,haeduorum
