surface	occurrence_count	physical_pages	truth_recipe	candidate_count_capped	gdt521_rank	gdt521_top1	gdt522_rank	gdt522_top1	gdt522_top5	truth_gdt521_score	truth_analogy_bonus	truth_gdt522_score	truth_analogy_trace	top1_gdt521_score	top1_analogy_bonus	top1_gdt522_score	top1_analogy_trace	top1_alignment_trace	decision_change_class	working_policy
dcheol	1	f66r	D_ADDR+CH+E+O+L	45	2	D_ADDR+CH+E+OL	1	D_ADDR+CH+E+O+L	D_ADDR+CH+E+O+L | D_ADDR+CH+E+OL | CH+E+OL | D_ADDR+LOCAL_C+E+OL | CH+E+O+L	5.360694099	0.942857143	4.983551242	dcheo+l=>L@RIGHT/RIGHT;n=12/12;p=1.000000;r=0.857143;b=0.942857	5.360694099	0.942857143	4.983551242	dcheo+l=>L@RIGHT/RIGHT;n=12/12;p=1.000000;r=0.857143;b=0.942857	d=>d~D_ADDR@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | l=>l~L@edit0+alias0.000	GDT521_ERROR_CORRECTED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__NEAREST_LOCAL_ANALOGY_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
dyky	1	f66r	D_ADDR+Y+K+Y	8	2	Y+K+Y	1	D_ADDR+Y+K+Y	D_ADDR+Y+K+Y | Y+K+Y | DY+K+Y | D_ADDR+Y+K+Y+CH | CHD+Y+K+Y	4.711727783	0.639310513	4.456003578	yky+d=>D_ADDR@LEFT/LEFT;n=32/47;p=0.656566;r=0.941176;b=0.639311	4.711727783	0.639310513	4.456003578	yky+d=>D_ADDR@LEFT/LEFT;n=32/47;p=0.656566;r=0.941176;b=0.639311	d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT521_ERROR_CORRECTED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__NEAREST_LOCAL_ANALOGY_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
