replay_id	neighbor_id	context_id	source_recipe	mutation_family	target_recipe	target_is_exact_catalog_key	neutral_identity_route	context_identity_route	identity_route_unchanged	incoming_action	incoming_argument	scope_incoming_action	next_recipe	context_occurrence_count	context_event_ids	neutral_factor_gate_status	context_factor_gate_status	neutral_execution_decision	context_execution_decision	decision_transition	neutral_blocked_factor_rules	context_blocked_factor_rules	context_execution_route	outgoing_action	outgoing_argument	stop_preserves_state	source_identity_used_for_target	meaning_revision	surface_prediction	occurrence_prediction
G448-R025001	G447-N06730	G448-C0898	CH+T+AL	SAME_CLASS_SUBSTITUTION	CH+S+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	Y	R	OK+SH+AL	1	G407-E0578	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	READ	READ	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_GREEN	S	Y	YES	NO	NO	NO	NO
G448-R025002	G447-N06730	G448-C0899	CH+T+AL	SAME_CLASS_SUBSTITUTION	CH+S+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIIN	T	OK+AL	1	G407-E0599	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	READ	READ	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_GREEN	S	AIIN	YES	NO	NO	NO	NO
G448-R025003	G447-N06730	G448-C0900	CH+T+AL	SAME_CLASS_SUBSTITUTION	CH+S+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIN	T	NONE	1	G407-E3795	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	READ	READ	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_GREEN	S	AIN	YES	NO	NO	NO	NO
G448-R025004	G447-N06731	G448-C0895	CH+T+AL	SAME_CLASS_SUBSTITUTION	CH+SH+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+AR	1	G407-E4529	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CH>SH	PAIR:CH>SH	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	CH	AIIN	YES	NO	NO	NO	NO
G448-R025005	G447-N06731	G448-C0896	CH+T+AL	SAME_CLASS_SUBSTITUTION	CH+SH+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	K	AIN	K	S	1	G407-E3543	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CH>SH	PAIR:CH>SH	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	K	AIN	YES	NO	NO	NO	NO
G448-R025006	G447-N06731	G448-C0897	CH+T+AL	SAME_CLASS_SUBSTITUTION	CH+SH+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	AIN	R	D_ADDR+AR	1	G407-E0173	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CH>SH	PAIR:CH>SH	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	AIN	YES	NO	NO	NO	NO
G448-R025007	G447-N06731	G448-C0898	CH+T+AL	SAME_CLASS_SUBSTITUTION	CH+SH+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	Y	R	OK+SH+AL	1	G407-E0578	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CH>SH	PAIR:CH>SH	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	Y	YES	NO	NO	NO	NO
G448-R025008	G447-N06731	G448-C0899	CH+T+AL	SAME_CLASS_SUBSTITUTION	CH+SH+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIIN	T	OK+AL	1	G407-E0599	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CH>SH	PAIR:CH>SH	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIIN	YES	NO	NO	NO	NO
G448-R025009	G447-N06731	G448-C0900	CH+T+AL	SAME_CLASS_SUBSTITUTION	CH+SH+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIN	T	NONE	1	G407-E3795	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CH>SH	PAIR:CH>SH	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIN	YES	NO	NO	NO	NO
G448-R025010	G447-N06735	G448-C0895	CH+T+AL	SAME_CLASS_SUBSTITUTION	CHD+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+AR	1	G407-E4529	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CHD>T	PAIR:CHD>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	CH	AIIN	YES	NO	NO	NO	NO
G448-R025011	G447-N06735	G448-C0896	CH+T+AL	SAME_CLASS_SUBSTITUTION	CHD+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	K	AIN	K	S	1	G407-E3543	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CHD>T	PAIR:CHD>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	K	AIN	YES	NO	NO	NO	NO
G448-R025012	G447-N06735	G448-C0897	CH+T+AL	SAME_CLASS_SUBSTITUTION	CHD+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	AIN	R	D_ADDR+AR	1	G407-E0173	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CHD>T	PAIR:CHD>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	AIN	YES	NO	NO	NO	NO
G448-R025013	G447-N06735	G448-C0898	CH+T+AL	SAME_CLASS_SUBSTITUTION	CHD+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	Y	R	OK+SH+AL	1	G407-E0578	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CHD>T	PAIR:CHD>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	Y	YES	NO	NO	NO	NO
G448-R025014	G447-N06735	G448-C0899	CH+T+AL	SAME_CLASS_SUBSTITUTION	CHD+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIIN	T	OK+AL	1	G407-E0599	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CHD>T	PAIR:CHD>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIIN	YES	NO	NO	NO	NO
G448-R025015	G447-N06735	G448-C0900	CH+T+AL	SAME_CLASS_SUBSTITUTION	CHD+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIN	T	NONE	1	G407-E3795	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:CHD>T	PAIR:CHD>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIN	YES	NO	NO	NO	NO
G448-R025016	G447-N06736	G448-C0895	CH+T+AL	SAME_CLASS_SUBSTITUTION	K+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+AR	1	G407-E4529	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:K>T	PAIR:K>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	CH	AIIN	YES	NO	NO	NO	NO
G448-R025017	G447-N06736	G448-C0896	CH+T+AL	SAME_CLASS_SUBSTITUTION	K+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	K	AIN	K	S	1	G407-E3543	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:K>T	PAIR:K>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	K	AIN	YES	NO	NO	NO	NO
G448-R025018	G447-N06736	G448-C0897	CH+T+AL	SAME_CLASS_SUBSTITUTION	K+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	AIN	R	D_ADDR+AR	1	G407-E0173	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:K>T	PAIR:K>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	AIN	YES	NO	NO	NO	NO
G448-R025019	G447-N06736	G448-C0898	CH+T+AL	SAME_CLASS_SUBSTITUTION	K+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	Y	R	OK+SH+AL	1	G407-E0578	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:K>T	PAIR:K>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	Y	YES	NO	NO	NO	NO
G448-R025020	G447-N06736	G448-C0899	CH+T+AL	SAME_CLASS_SUBSTITUTION	K+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIIN	T	OK+AL	1	G407-E0599	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:K>T	PAIR:K>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIIN	YES	NO	NO	NO	NO
G448-R025021	G447-N06736	G448-C0900	CH+T+AL	SAME_CLASS_SUBSTITUTION	K+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIN	T	NONE	1	G407-E3795	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:K>T	PAIR:K>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIN	YES	NO	NO	NO	NO
G448-R025022	G447-N06737	G448-C0895	CH+T+AL	SAME_CLASS_SUBSTITUTION	OK+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+AR	1	G407-E4529	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:OK>T	PAIR:OK>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	CH	AIIN	YES	NO	NO	NO	NO
G448-R025023	G447-N06737	G448-C0896	CH+T+AL	SAME_CLASS_SUBSTITUTION	OK+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	K	AIN	K	S	1	G407-E3543	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:OK>T	PAIR:OK>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	K	AIN	YES	NO	NO	NO	NO
G448-R025024	G447-N06737	G448-C0897	CH+T+AL	SAME_CLASS_SUBSTITUTION	OK+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	AIN	R	D_ADDR+AR	1	G407-E0173	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:OK>T	PAIR:OK>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	AIN	YES	NO	NO	NO	NO
G448-R025025	G447-N06737	G448-C0898	CH+T+AL	SAME_CLASS_SUBSTITUTION	OK+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	Y	R	OK+SH+AL	1	G407-E0578	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:OK>T	PAIR:OK>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	Y	YES	NO	NO	NO	NO
G448-R025026	G447-N06737	G448-C0899	CH+T+AL	SAME_CLASS_SUBSTITUTION	OK+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIIN	T	OK+AL	1	G407-E0599	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:OK>T	PAIR:OK>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIIN	YES	NO	NO	NO	NO
G448-R025027	G447-N06737	G448-C0900	CH+T+AL	SAME_CLASS_SUBSTITUTION	OK+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIN	T	NONE	1	G407-E3795	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:OK>T	PAIR:OK>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIN	YES	NO	NO	NO	NO
G448-R025028	G447-N06738	G448-C0895	CH+T+AL	SAME_CLASS_SUBSTITUTION	P+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+AR	1	G407-E4529	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:P>T	PAIR:P>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	CH	AIIN	YES	NO	NO	NO	NO
G448-R025029	G447-N06738	G448-C0896	CH+T+AL	SAME_CLASS_SUBSTITUTION	P+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	K	AIN	K	S	1	G407-E3543	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:P>T	PAIR:P>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	K	AIN	YES	NO	NO	NO	NO
G448-R025030	G447-N06738	G448-C0897	CH+T+AL	SAME_CLASS_SUBSTITUTION	P+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	AIN	R	D_ADDR+AR	1	G407-E0173	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:P>T	PAIR:P>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	AIN	YES	NO	NO	NO	NO
G448-R025031	G447-N06738	G448-C0898	CH+T+AL	SAME_CLASS_SUBSTITUTION	P+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	Y	R	OK+SH+AL	1	G407-E0578	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:P>T	PAIR:P>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	Y	YES	NO	NO	NO	NO
G448-R025032	G447-N06738	G448-C0899	CH+T+AL	SAME_CLASS_SUBSTITUTION	P+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIIN	T	OK+AL	1	G407-E0599	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:P>T	PAIR:P>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIIN	YES	NO	NO	NO	NO
G448-R025033	G447-N06738	G448-C0900	CH+T+AL	SAME_CLASS_SUBSTITUTION	P+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIN	T	NONE	1	G407-E3795	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:P>T	PAIR:P>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIN	YES	NO	NO	NO	NO
G448-R025034	G447-N06739	G448-C0895	CH+T+AL	SAME_CLASS_SUBSTITUTION	R+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+AR	1	G407-E4529	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIIN	YES	NO	NO	NO	NO
G448-R025035	G447-N06739	G448-C0896	CH+T+AL	SAME_CLASS_SUBSTITUTION	R+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	K	AIN	K	S	1	G407-E3543	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIN	YES	NO	NO	NO	NO
G448-R025036	G447-N06739	G448-C0897	CH+T+AL	SAME_CLASS_SUBSTITUTION	R+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	AIN	R	D_ADDR+AR	1	G407-E0173	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIN	YES	NO	NO	NO	NO
G448-R025037	G447-N06739	G448-C0898	CH+T+AL	SAME_CLASS_SUBSTITUTION	R+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	Y	R	OK+SH+AL	1	G407-E0578	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	Y	YES	NO	NO	NO	NO
G448-R025038	G447-N06739	G448-C0899	CH+T+AL	SAME_CLASS_SUBSTITUTION	R+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIIN	T	OK+AL	1	G407-E0599	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIIN	YES	NO	NO	NO	NO
G448-R025039	G447-N06739	G448-C0900	CH+T+AL	SAME_CLASS_SUBSTITUTION	R+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIN	T	NONE	1	G407-E3795	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIN	YES	NO	NO	NO	NO
G448-R025040	G447-N06740	G448-C0895	CH+T+AL	SAME_CLASS_SUBSTITUTION	S+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+AR	1	G407-E4529	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:S>T	PAIR:S>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	CH	AIIN	YES	NO	NO	NO	NO
G448-R025041	G447-N06740	G448-C0896	CH+T+AL	SAME_CLASS_SUBSTITUTION	S+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	K	AIN	K	S	1	G407-E3543	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:S>T	PAIR:S>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	K	AIN	YES	NO	NO	NO	NO
G448-R025042	G447-N06740	G448-C0897	CH+T+AL	SAME_CLASS_SUBSTITUTION	S+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	AIN	R	D_ADDR+AR	1	G407-E0173	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:S>T	PAIR:S>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	AIN	YES	NO	NO	NO	NO
G448-R025043	G447-N06740	G448-C0898	CH+T+AL	SAME_CLASS_SUBSTITUTION	S+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	Y	R	OK+SH+AL	1	G407-E0578	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:S>T	PAIR:S>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	R	Y	YES	NO	NO	NO	NO
G448-R025044	G447-N06740	G448-C0899	CH+T+AL	SAME_CLASS_SUBSTITUTION	S+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIIN	T	OK+AL	1	G407-E0599	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:S>T	PAIR:S>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIIN	YES	NO	NO	NO	NO
G448-R025045	G447-N06740	G448-C0900	CH+T+AL	SAME_CLASS_SUBSTITUTION	S+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIN	T	NONE	1	G407-E3795	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:S>T	PAIR:S>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	T	AIN	YES	NO	NO	NO	NO
G448-R025046	G447-N06741	G448-C0895	CH+T+AL	SAME_CLASS_SUBSTITUTION	SH+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+AR	1	G407-E4529	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIIN	YES	NO	NO	NO	NO
G448-R025047	G447-N06741	G448-C0896	CH+T+AL	SAME_CLASS_SUBSTITUTION	SH+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	K	AIN	K	S	1	G407-E3543	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIN	YES	NO	NO	NO	NO
G448-R025048	G447-N06741	G448-C0897	CH+T+AL	SAME_CLASS_SUBSTITUTION	SH+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	AIN	R	D_ADDR+AR	1	G407-E0173	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIN	YES	NO	NO	NO	NO
G448-R025049	G447-N06741	G448-C0898	CH+T+AL	SAME_CLASS_SUBSTITUTION	SH+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	R	Y	R	OK+SH+AL	1	G407-E0578	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	Y	YES	NO	NO	NO	NO
G448-R025050	G447-N06741	G448-C0899	CH+T+AL	SAME_CLASS_SUBSTITUTION	SH+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIIN	T	OK+AL	1	G407-E0599	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIIN	YES	NO	NO	NO	NO
G448-R025051	G447-N06741	G448-C0900	CH+T+AL	SAME_CLASS_SUBSTITUTION	SH+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	T	AIN	T	NONE	1	G407-E3795	FACTOR_AMBER_LOCAL_APPENDIX	FACTOR_AMBER_LOCAL_APPENDIX	READ_AMBER	READ_AMBER	UNCHANGED	NONE	NONE	EXECUTE_KNOWN_FACTORS_AMBER	T	AIN	YES	NO	NO	NO	NO
G448-R025052	G447-N06742	G448-C0895	CH+T+AL	SAME_CLASS_SUBSTITUTION	T+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+AR	1	G407-E4529	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:T>T	PAIR:T>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	CH	AIIN	YES	NO	NO	NO	NO
G448-R025053	G447-N06742	G448-C0896	CH+T+AL	SAME_CLASS_SUBSTITUTION	T+T+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	K	AIN	K	S	1	G407-E3543	STOP__UNLICENSED_FACTOR	STOP__UNLICENSED_FACTOR	STOP	STOP	UNCHANGED	PAIR:T>T	PAIR:T>T	EXECUTION_STOP_UNLICENSED_DIRECT_PAIR	K	AIN	YES	NO	NO	NO	NO
