running_slot_ordinal	slot_id	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	surface	final_recipe	atom_position	atom_root	boundary_class	fill_status	primary_governor_kind	primary_governor_key	realization_scope	host_source	guard
1	RUNNING:G407-E0001@1	G407-E0001	G407-S001	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	1	LOCAL_CHAR_F	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	SAME_CARD_ACTION	ACTION:G407-E0001@3:CH	PRIMARY_GOVERNOR	NEAREST_VISIBLE_ACTION_LEFT_TIE	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
2	RUNNING:G407-E0001@2	G407-E0001	G407-S001	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	2	A_ADDR	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	SAME_CARD_ACTION	ACTION:G407-E0001@3:CH	PRIMARY_GOVERNOR	NEAREST_VISIBLE_ACTION_LEFT_TIE	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
3	RUNNING:G407-E0001@3	G407-E0001	G407-S001	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	3	CH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0001@3:CH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
4	RUNNING:G407-E0001@4	G407-E0001	G407-S001	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	4	Y	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0001@3:CH	PRIMARY_GOVERNOR	G407-A00001	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
5	RUNNING:G407-E0001@5	G407-E0001	G407-S001	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	5	S	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0001@5:S	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
6	RUNNING:G407-E0002@1	G407-E0002	G407-S001	2	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	1	Y	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0002@2:K	PRIMARY_GOVERNOR	G407-A00002	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
7	RUNNING:G407-E0002@2	G407-E0002	G407-S001	2	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	2	K	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0002@2:K	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
8	RUNNING:G407-E0002@3	G407-E0002	G407-S001	2	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	3	AL	RUNNING_RELATION_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0002@2:K	PRIMARY_GOVERNOR	G407-A00003	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
9	RUNNING:G407-E0003@1	G407-E0003	G407-S001	3	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ar	AR	1	AR	RUNNING_RELATION_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0002@2:K	PRIMARY_GOVERNOR	G407-A00004	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
10	RUNNING:G407-E0004@1	G407-E0004	G407-S001	4	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	1	A_ADDR	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	SAME_CARD_ACTION	ACTION:G407-E0004@2:T	PRIMARY_GOVERNOR	NEAREST_VISIBLE_ACTION_LEFT_TIE	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
11	RUNNING:G407-E0004@2	G407-E0004	G407-S001	4	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	2	T	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0004@2:T	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
12	RUNNING:G407-E0004@3	G407-E0004	G407-S001	4	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	3	AIIN	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0004@2:T	PRIMARY_GOVERNOR	G407-A00005	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
13	RUNNING:G407-E0005@1	G407-E0005	G407-S001	5	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	1	SH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0005@1:SH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
14	RUNNING:G407-E0005@2	G407-E0005	G407-S001	5	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	2	OL	RUNNING_STATE_CONTROL	CONTROL_HOST_ONLY	SELF_STATE_CONTROL	CONTROL:G407-E0005@2:OL	CONTROL_BLOCK	GDT557_STATE_GRAMMAR	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
15	RUNNING:G407-E0006@1	G407-E0006	G407-S001	6	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	1	SH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0006@1:SH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
16	RUNNING:G407-E0006@2	G407-E0006	G407-S001	6	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	2	OR	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0006@1:SH	PRIMARY_GOVERNOR	G407-A00006	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
17	RUNNING:G407-E0006@3	G407-E0006	G407-S001	6	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	3	Y	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0006@1:SH	PRIMARY_GOVERNOR	G407-A00007	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
18	RUNNING:G407-E0007@1	G407-E0007	G407-S001	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	1	CH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0007@1:CH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
19	RUNNING:G407-E0007@2	G407-E0007	G407-S001	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	2	T	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0007@2:T	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
20	RUNNING:G407-E0007@3	G407-E0007	G407-S001	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	3	R	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0007@3:R	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
21	RUNNING:G407-E0007@4	G407-E0007	G407-S001	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	4	E	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0007@2:T	PRIMARY_GOVERNOR	G407-A00008	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
22	RUNNING:G407-E0007@5	G407-E0007	G407-S001	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	5	S	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0007@5:S	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
23	RUNNING:G407-E0008@1	G407-E0008	G407-S001	8	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	1	Y	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0007@5:S	PRIMARY_GOVERNOR	G407-A00009	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
24	RUNNING:G407-E0009@1	G407-E0009	G407-S001	9	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kor	K+OR	1	K	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0009@1:K	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
25	RUNNING:G407-E0009@2	G407-E0009	G407-S001	9	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kor	K+OR	2	OR	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0009@1:K	PRIMARY_GOVERNOR	G407-A00010	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
26	RUNNING:G407-E0010@1	G407-E0010	G407-S001	10	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	1	SH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0010@1:SH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
27	RUNNING:G407-E0010@2	G407-E0010	G407-S001	10	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	2	OL	RUNNING_STATE_CONTROL	CONTROL_HOST_ONLY	SELF_STATE_CONTROL	CONTROL:G407-E0010@2:OL	CONTROL_BLOCK	GDT557_STATE_GRAMMAR	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
28	RUNNING:G407-E0010@3	G407-E0010	G407-S001	10	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	3	D_ADDR	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	SAME_CARD_ACTION	ACTION:G407-E0010@1:SH	PRIMARY_GOVERNOR	NEAREST_VISIBLE_ACTION_LEFT_TIE	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
29	RUNNING:G407-E0010@4	G407-E0010	G407-S001	10	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	4	Y	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0010@1:SH	PRIMARY_GOVERNOR	G407-A00011	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
30	RUNNING:G407-E0011@1	G407-E0011	G407-S001	11	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	S+OR+Y	1	S	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0011@1:S	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
31	RUNNING:G407-E0011@2	G407-E0011	G407-S001	11	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	S+OR+Y	2	OR	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0011@1:S	PRIMARY_GOVERNOR	G407-A00012	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
32	RUNNING:G407-E0011@3	G407-E0011	G407-S001	11	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	S+OR+Y	3	Y	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0011@1:S	PRIMARY_GOVERNOR	G407-A00013	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
33	RUNNING:G407-E0012@1	G407-E0012	G407-S001	12	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	1	CH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0012@1:CH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
34	RUNNING:G407-E0012@2	G407-E0012	G407-S001	12	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	2	K	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0012@2:K	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
35	RUNNING:G407-E0012@3	G407-E0012	G407-S001	12	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	3	AR	RUNNING_RELATION_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0012@2:K	PRIMARY_GOVERNOR	G407-A00014	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
36	RUNNING:G407-E0013@1	G407-E0013	G407-S001	13	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	1	OR	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0012@2:K	PRIMARY_GOVERNOR	G407-A00015	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
37	RUNNING:G407-E0014@1	G407-E0014	G407-S001	14	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	1	Y	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0012@2:K	PRIMARY_GOVERNOR	G407-A00016	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
38	RUNNING:G407-E0015@1	G407-E0015	G407-S001	15	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kair	K+AIR	1	K	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0015@1:K	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
39	RUNNING:G407-E0015@2	G407-E0015	G407-S001	15	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kair	K+AIR	2	AIR	RUNNING_RELATION_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0015@1:K	PRIMARY_GOVERNOR	G407-A00017	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
40	RUNNING:G407-E0016@1	G407-E0016	G407-S001	16	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	1	CH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0016@1:CH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
41	RUNNING:G407-E0016@2	G407-E0016	G407-S001	16	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	2	T	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0016@2:T	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
42	RUNNING:G407-E0016@3	G407-E0016	G407-S001	16	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	3	AIIN	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0016@2:T	PRIMARY_GOVERNOR	G407-A00018	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
43	RUNNING:G407-E0017@1	G407-E0017	G407-S001	17	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	SH+AR	1	SH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0017@1:SH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
44	RUNNING:G407-E0017@2	G407-E0017	G407-S001	17	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	SH+AR	2	AR	RUNNING_RELATION_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0017@1:SH	PRIMARY_GOVERNOR	G407-A00019	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
45	RUNNING:G407-E0018@1	G407-E0018	G407-S001	18	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	1	A_ADDR	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	SAME_CARD_ACTION	ACTION:G407-E0018@2:S	PRIMARY_GOVERNOR	NEAREST_VISIBLE_ACTION_LEFT_TIE	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
46	RUNNING:G407-E0018@2	G407-E0018	G407-S001	18	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	2	S	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0018@2:S	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
47	RUNNING:G407-E0018@3	G407-E0018	G407-S001	18	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	3	E	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0018@2:S	PRIMARY_GOVERNOR	G407-A00020	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
48	RUNNING:G407-E0019@1	G407-E0019	G407-S001	19	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	1	CH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0019@1:CH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
49	RUNNING:G407-E0019@2	G407-E0019	G407-S001	19	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	2	T	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0019@2:T	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
50	RUNNING:G407-E0019@3	G407-E0019	G407-S001	19	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	3	AR	RUNNING_RELATION_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0019@2:T	PRIMARY_GOVERNOR	G407-A00021	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
51	RUNNING:G407-E0020@1	G407-E0020	G407-S001	20	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	1	CH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0020@1:CH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
52	RUNNING:G407-E0020@2	G407-E0020	G407-S001	20	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	2	T	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0020@2:T	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
53	RUNNING:G407-E0020@3	G407-E0020	G407-S001	20	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	3	AR	RUNNING_RELATION_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0020@2:T	PRIMARY_GOVERNOR	G407-A00022	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
54	RUNNING:G407-E0021@1	G407-E0021	G407-S001	21	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	dan	AIN	1	AIN	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0020@2:T	PRIMARY_GOVERNOR	G407-A00023	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
55	RUNNING:G407-E0022@1	G407-E0022	G407-S001	22	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	1	S	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0022@1:S	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
56	RUNNING:G407-E0022@2	G407-E0022	G407-S001	22	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	2	Y	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0022@1:S	PRIMARY_GOVERNOR	G407-A00024	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
57	RUNNING:G407-E0022@3	G407-E0022	G407-S001	22	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	3	IIN	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	SAME_CARD_ACTION	ACTION:G407-E0022@4:R	PRIMARY_GOVERNOR	NEAREST_VISIBLE_ACTION_LEFT_TIE	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
58	RUNNING:G407-E0022@4	G407-E0022	G407-S001	22	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	4	R	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0022@4:R	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
59	RUNNING:G407-E0023@1	G407-E0023	G407-S001	23	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	1	SH	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0023@1:SH	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
60	RUNNING:G407-E0023@2	G407-E0023	G407-S001	23	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	2	E	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0023@1:SH	PRIMARY_GOVERNOR	G407-A00025	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
61	RUNNING:G407-E0023@3	G407-E0023	G407-S001	23	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	3	K	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0023@3:K	SELF	FINAL_RECIPE_SELF_HEAD	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
62	RUNNING:G407-E0023@4	G407-E0023	G407-S001	23	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	4	Y	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0023@3:K	PRIMARY_GOVERNOR	G407-A00026	EVERY_RUNNING_SLOT_HAS_ONE_BOUNDARY_CLASS_AND_PRIMARY_GOVERNOR
