fold	surface	truth_recipe	candidate_count_capped	truth_generated	compiler_rank	form_decoder_rank	anchor_rank	compiler_top1	form_decoder_top1	anchor_top1	truth_anchor_cost	anchor_top1_cost
0	oltchy	OL+T+Y	8	YES	2	2	2	OL+T+CH+Y	OL+T+CH+Y	OL+T+CH+Y	1.250000000	0.000000000
0	opar	O+P+AR	7	YES	1	1	1	O+P+AR	O+P+AR	O+P+AR	0.000000000	0.000000000
0	opcheol	O+P+CH+E+OL	31	YES	1	1	1	O+P+CH+E+OL	O+P+CH+E+OL	O+P+CH+E+OL	0.000000000	0.000000000
0	opcholalaiin	O+P+CH+OL+AL+AIIN	100	YES	6	4	1	O+CH+T+OL+AIIN	O+P+OL+AIIN	O+P+CH+OL+AL+AIIN	0.000000000	0.000000000
0	opchor	O+P+CH+OR	49	YES	1	1	1	O+P+CH+OR	O+P+CH+OR	O+P+CH+OR	0.000000000	0.000000000
0	opchordy	O+P+CH+OR+DY	100	YES	3	1	1	O+P+CH+O+AR+DY	O+P+CH+OR+DY	O+P+CH+OR+DY	0.000000000	0.000000000
0	opodchol	O+P+O+D_ADDR+OL	55	YES	1	2	2	O+P+O+D_ADDR+OL	O+P+O+D_ADDR+CH+OL	O+P+O+D_ADDR+CH+OL	0.513657554	0.000000000
0	opom	O+P+O+AM_ADDR	4	YES	1	1	1	O+P+O+AM_ADDR	O+P+O+AM_ADDR	O+P+O+AM_ADDR	0.505264373	0.505264373
0	opshey	O+P+SH+E+Y	17	YES	1	1	1	O+P+SH+E+Y	O+P+SH+E+Y	O+P+SH+E+Y	0.000000000	0.000000000
0	opshody	O+P+SH+O+DY	57	YES	1	1	1	O+P+SH+O+DY	O+P+SH+O+DY	O+P+SH+O+DY	0.000000000	0.000000000
0	oraiin	OR+AIIN	97	YES	1	1	1	OR+AIIN	OR+AIIN	OR+AIIN	0.000000000	0.000000000
0	oral	OR+AL	10	YES	1	1	1	OR+AL	OR+AL	OR+AL	0.000000000	0.000000000
0	oro	OR+O	4	YES	1	1	1	OR+O	OR+O	OR+O	0.000000000	0.000000000
0	ory	OR+Y	3	YES	1	1	1	OR+Y	OR+Y	OR+Y	0.000000000	0.000000000
0	oshor	O+SH+OR	32	YES	1	1	1	O+SH+OR	O+SH+OR	O+SH+OR	0.000000000	0.000000000
0	otaiin	OT+AIIN	67	YES	1	1	1	OT+AIIN	OT+AIIN	OT+AIIN	0.000000000	0.000000000
0	otain	OT+AIN	23	YES	1	1	1	OT+AIN	OT+AIN	OT+AIN	0.000000000	0.000000000
0	otaky	OT+A_ADDR+K+Y	7	YES	1	2	1	OT+A_ADDR+K+Y	OT+K+Y	OT+A_ADDR+K+Y	0.000000000	0.000000000
0	otalain	OT+AL+AIN	74	YES	1	1	1	OT+AL+AIN	OT+AL+AIN	OT+AL+AIN	0.000000000	0.000000000
0	otam	OT+AM_ADDR	11	YES	1	1	1	OT+AM_ADDR	OT+AM_ADDR	OT+AM_ADDR	0.000000000	0.000000000
0	otarain	OT+AIN	100	NO	0	0	0	OT+AR+AIN	NONE	NONE	NONE	NONE
0	otcham	OT+AM_ADDR	30	YES	2	2	3	OT+CH+AM_ADDR	OT+CH+AM_ADDR	OT+CH+AM_ADDR	2.000000000	0.000000000
0	otchl	OT+CH+L	13	YES	1	1	1	OT+CH+L	OT+CH+L	OT+CH+L	0.000000000	0.000000000
0	otchol	OT+CH+OL	25	YES	2	2	1	OT+OL	OT+OL	OT+CH+OL	0.000000000	0.000000000
0	otchor	OT+CH+OR	45	YES	1	1	1	OT+CH+OR	OT+CH+OR	OT+CH+OR	0.000000000	0.000000000
0	otchr	OT+CH+R	19	YES	1	1	1	OT+CH+R	OT+CH+R	OT+CH+R	0.000000000	0.000000000
0	otear	OT+E+AR	6	YES	1	1	1	OT+E+AR	OT+E+AR	OT+E+AR	0.000000000	0.000000000
0	otedar	OT+E+D_ADDR+AR	39	YES	1	1	1	OT+E+D_ADDR+AR	OT+E+D_ADDR+AR	OT+E+D_ADDR+AR	0.000000000	0.000000000
0	oteeodaiin	OT+EE+O+D_ADDR+AIIN	100	YES	1	1	1	OT+EE+O+D_ADDR+AIIN	OT+EE+O+D_ADDR+AIIN	OT+EE+O+D_ADDR+AIIN	0.000000000	0.000000000
0	oteodar	OT+E+O+D_ADDR+AR	78	YES	2	1	1	OT+E+O+AR	OT+E+O+D_ADDR+AR	OT+E+O+D_ADDR+AR	0.000000000	0.000000000
0	otody	OT+O+DY	22	YES	2	1	1	OT+O+D_ADDR+Y	OT+O+DY	OT+O+DY	0.000000000	0.000000000
0	otoees	OT+EE+Y	36	NO	0	0	0	OT+O+EE+S	NONE	NONE	NONE	NONE
0	otois	OT+O	24	NO	0	0	0	OT+O+LOCAL_CHAR_I	NONE	NONE	NONE	NONE
0	otolpchy	OT+OL+P+CH+Y	42	YES	2	2	1	OT+OL+P+Y	OT+OL+P+Y	OT+OL+P+CH+Y	0.000000000	0.000000000
0	otor	OT+OR	10	YES	1	1	1	OT+OR	OT+OR	OT+OR	0.000000000	0.000000000
0	oty	OT+Y	2	YES	1	1	1	OT+Y	OT+Y	OT+Y	0.000000000	0.000000000
0	oydar	O+Y+D_ADDR+AR	15	YES	1	1	1	O+Y+D_ADDR+AR	O+Y+D_ADDR+AR	O+Y+D_ADDR+AR	0.000000000	0.000000000
0	pchal	P+CH+AL	12	YES	1	1	1	P+CH+AL	P+CH+AL	P+CH+AL	0.000000000	0.000000000
0	pchedy	P+CHD+DY	40	YES	2	2	2	P+CHD+Y	P+CHD+Y	P+CHD+Y	1.500000000	0.000000000
0	pchodol	P+CH+O+D_ADDR+OL	64	YES	1	1	1	P+CH+O+D_ADDR+OL	P+CH+O+D_ADDR+OL	P+CH+O+D_ADDR+OL	0.000000000	0.000000000
0	pdalshor	P+D_ADDR+AL+SH+OR	100	YES	9	8	4	P+DA+L+SH+OR	P+DA+L+SH+OR	P+DA+L+SH+OR	0.000000000	0.000000000
0	poeear	P+O+EE+AR	12	YES	1	1	1	P+O+EE+AR	P+O+EE+AR	P+O+EE+AR	0.000000000	0.000000000
0	pol	P+OL	2	YES	1	1	1	P+OL	P+OL	P+OL	0.000000000	0.000000000
0	polchoy	P+OL+CH+O+Y	11	YES	3	2	1	P+OL+O+Y	P+OL+O+Y	P+OL+CH+O+Y	0.000000000	0.000000000
0	polshy	P+OL+SH+Y	10	YES	3	1	1	P+OL+Y	P+OL+SH+Y	P+OL+SH+Y	0.000000000	0.000000000
0	pshol	P+SH+OL	12	YES	1	1	1	P+SH+OL	P+SH+OL	P+SH+OL	0.000000000	0.000000000
0	qcthey	CH+T+E+Y	11	YES	2	2	2	CARRIER_Q+CH+T+E+Y	CARRIER_Q+CH+T+E+Y	CARRIER_Q+CH+T+E+Y	1.512036368	0.512036368
0	qedy	CARRIER_Q+E+DY	6	YES	1	1	1	CARRIER_Q+E+DY	CARRIER_Q+E+DY	CARRIER_Q+E+DY	0.000000000	0.000000000
0	qekaiin	CARRIER_Q+E+K+AIIN	88	YES	1	1	1	CARRIER_Q+E+K+AIIN	CARRIER_Q+E+K+AIIN	CARRIER_Q+E+K+AIIN	0.000000000	0.000000000
0	qekey	E+K+E+Y	8	NO	0	0	0	CARRIER_Q+E+K+E+Y	NONE	NONE	NONE	NONE
0	qeteiiin	CARRIER_Q+E+T+IIN	100	NO	0	0	0	CARRIER_Q+E+T+E+IIN	NONE	NONE	NONE	NONE
0	qkor	K+OR	7	NO	0	0	0	CARRIER_Q+K+OR	NONE	NONE	NONE	NONE
0	qoaiin	CARRIER_Q+O+AIIN	42	YES	1	1	1	CARRIER_Q+O+AIIN	CARRIER_Q+O+AIIN	CARRIER_Q+O+AIIN	0.000000000	0.000000000
0	qoaiis	CARRIER_Q+O+IIN+S	76	YES	8	8	5	CARRIER_Q+O+A_ADDR+IIN+S	O+AIIN+S	CARRIER_Q+O+AIIN+S	2.000000000	2.000000000
0	qocphey	CH+P+E+Y	12	NO	0	0	0	CARRIER_Q+O+CH+P+E+Y	NONE	NONE	NONE	NONE
0	qocthy	O+CH+T+Y	8	YES	2	2	2	CARRIER_Q+O+CH+T+Y	CARRIER_Q+O+CH+T+Y	CARRIER_Q+O+CH+T+Y	1.502353050	0.502353050
0	qodched	CARRIER_Q+O+D_ADDR+CHD	93	YES	2	2	2	O+D_ADDR+CHD	O+D_ADDR+CHD	O+D_ADDR+CHD	0.000000000	1.000000000
0	qodeedy	O+D_ADDR+EE+DY	96	YES	1	1	1	O+D_ADDR+EE+DY	O+D_ADDR+EE+DY	O+D_ADDR+EE+DY	1.000000000	1.000000000
0	qoeair	CARRIER_Q+O+E+AIR	26	YES	1	1	1	CARRIER_Q+O+E+AIR	CARRIER_Q+O+E+AIR	CARRIER_Q+O+E+AIR	0.000000000	0.000000000
0	qoekol	CARRIER_Q+O+E+K+OL	20	YES	1	1	1	CARRIER_Q+O+E+K+OL	CARRIER_Q+O+E+K+OL	CARRIER_Q+O+E+K+OL	0.000000000	0.000000000
0	qof	O+LOCAL_CHAR_F	3	YES	3	2	2	CARRIER_Q+O+LOCAL_CHAR_F	CARRIER_Q+O+LOCAL_CHAR_F	CARRIER_Q+O+LOCAL_CHAR_F	1.000000000	0.000000000
0	qokalchey	OK+AL+CH+E+Y	100	YES	2	2	1	OK+AL+Y	OK+AL+Y	OK+AL+CH+E+Y	0.250000000	0.250000000
0	qokam	OK+AM_ADDR	26	YES	1	1	1	OK+AM_ADDR	OK+AM_ADDR	OK+AM_ADDR	0.250641713	0.250641713
0	qokchedy	OK+CHD+Y	100	YES	1	2	1	OK+CHD+Y	OK+CHD+DY	OK+CHD+Y	0.250641713	0.250641713
0	qokcheor	OK+CH+E+O+R	96	YES	1	2	2	OK+CH+E+O+R	OK+CH+E+OR	OK+CH+E+OR	0.250641713	0.250641713
0	qokeal	OK+E+AL	13	YES	1	1	1	OK+E+AL	OK+E+AL	OK+E+AL	0.250641713	0.250641713
0	qokear	OK+E+AR	15	YES	1	1	1	OK+E+AR	OK+E+AR	OK+E+AR	0.250641713	0.250641713
0	qokechedy	OK+E+CHD+DY	100	YES	3	3	2	OK+E+CHD+Y	OK+E+E+DY	OK+E+CHD+Y	1.750641713	0.250641713
0	qokedy	OK+E+DY	30	YES	1	1	1	OK+E+DY	OK+E+DY	OK+E+DY	0.250641713	0.250641713
0	qokeed	OK+EE+D_ADDR	39	YES	2	2	1	OK+EE	OK+EE	OK+EE+D_ADDR	0.250000000	0.250000000
0	qokeedy	OK+EE+DY	69	YES	1	1	1	OK+EE+DY	OK+EE+DY	OK+EE+DY	0.250000000	0.250000000
0	qokeeod	OK+EE+O+D_ADDR	77	YES	1	1	1	OK+EE+O+D_ADDR	OK+EE+O+D_ADDR	OK+EE+O+D_ADDR	0.250000000	0.250000000
0	qokeody	OK+E+O+D_ADDR+Y	62	YES	2	3	2	OK+E+O+Y	OK+E+O+Y	OK+E+O+DY	0.250641713	0.250641713
