action_root	matrix_cell_count	observed_cell_count	composed_cell_count	unavailable_cell_count	observed_event_count	multihead_composed_count	single_head_composed_count	cross_register_composed_count	old_values_only_composed_count	context_generalized_count	all_value_cells_old	all_defaults_readable
OK	55	29	26	0	275	5	10	7	4	8	YES	YES
CH	55	10	45	0	18	25	9	2	9	14	YES	YES
SH	55	12	43	0	29	21	11	2	9	12	YES	YES
K	55	20	35	0	39	13	11	7	4	11	YES	YES
S	55	17	38	0	95	18	9	6	5	12	YES	YES
CHD	55	15	40	0	125	19	10	0	11	16	YES	YES
T	55	20	35	0	30	16	8	11	0	12	YES	YES
R	55	17	38	0	46	18	9	11	0	11	YES	YES
P	55	3	52	0	3	30	11	3	8	19	YES	YES
