gdt750_calibration_occurrence_id	known_surface	page	locus	token_ordinal	true_quality_stage_axes	V0_DIRECT_RAW_R1_predicted_axes	V0_DIRECT_RAW_R1_hit_axes	V0_DIRECT_RAW_R1_false_axes	V0_DIRECT_RAW_R1_selected_ring	V1_DIRECT_NO_CLOSE_R1_predicted_axes	V1_DIRECT_NO_CLOSE_R1_hit_axes	V1_DIRECT_NO_CLOSE_R1_false_axes	V1_DIRECT_NO_CLOSE_R1_selected_ring	V2_D1_MULTI_FORM_R1_NO_CLOSE_ACTIVE_predicted_axes	V2_D1_MULTI_FORM_R1_NO_CLOSE_ACTIVE_hit_axes	V2_D1_MULTI_FORM_R1_NO_CLOSE_ACTIVE_false_axes	V2_D1_MULTI_FORM_R1_NO_CLOSE_ACTIVE_selected_ring	V3_D1_MULTI_FORM_R2_NO_CLOSE_DISCOVERY_predicted_axes	V3_D1_MULTI_FORM_R2_NO_CLOSE_DISCOVERY_hit_axes	V3_D1_MULTI_FORM_R2_NO_CLOSE_DISCOVERY_false_axes	V3_D1_MULTI_FORM_R2_NO_CLOSE_DISCOVERY_selected_ring	V4_D2_MULTI_FORM_R1_NO_CLOSE_SENSITIVITY_predicted_axes	V4_D2_MULTI_FORM_R1_NO_CLOSE_SENSITIVITY_hit_axes	V4_D2_MULTI_FORM_R1_NO_CLOSE_SENSITIVITY_false_axes	V4_D2_MULTI_FORM_R1_NO_CLOSE_SENSITIVITY_selected_ring	V5_D2_MULTI_FORM_R2_NO_CLOSE_SENSITIVITY_predicted_axes	V5_D2_MULTI_FORM_R2_NO_CLOSE_SENSITIVITY_hit_axes	V5_D2_MULTI_FORM_R2_NO_CLOSE_SENSITIVITY_false_axes	V5_D2_MULTI_FORM_R2_NO_CLOSE_SENSITIVITY_selected_ring	literal_identity_credit	confirmed_lexeme	component_export_credit
G750-K0001	chol	f100r	f100r.15	5	DRY	END_STAGE	NONE	END_STAGE	1	END_STAGE	NONE	END_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0002	qokeeody	f100r	f100r.15	6	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0003	oteol	f100r	f100r.20	1	COLD|MIDDLE_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0004	chol	f100r	f100r.23	2	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0005	chol	f100r	f100r.23	8	DRY	MOIST	NONE	MOIST	1	MOIST	NONE	MOIST	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	1	NONE	NONE	NONE	1	0	0	0
G750-K0006	chol	f100r	f100r.25	3	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	2	0	0	0
G750-K0007	chol	f100r	f100r.26	3	DRY	DRY|END_STAGE	DRY	END_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0008	okeeol	f100r	f100r.26	8	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0009	chol	f100r	f100r.27	1	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	DRY	DRY	NONE	2	NONE	NONE	NONE	NONE	DRY	DRY	NONE	2	0	0	0
G750-K0010	cheey	f100v	f100v.15	2	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0011	chol	f100v	f100v.15	7	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0012	cheey	f100v	f100v.15	8	DRY|END_STAGE	HOT|MIDDLE_STAGE	NONE	HOT|MIDDLE_STAGE	1	HOT|MIDDLE_STAGE	NONE	HOT|MIDDLE_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0013	chol	f100v	f100v.16	2	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0014	sheeo	f100v	f100v.16	6	END_STAGE	HOT|MIDDLE_STAGE	NONE	HOT|MIDDLE_STAGE	1	HOT|MIDDLE_STAGE	NONE	HOT|MIDDLE_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0015	chol	f100v	f100v.17	5	DRY	COLD|DRY	DRY	COLD	1	COLD|DRY	DRY	COLD	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0016	cheeor	f100v	f100v.18	5	DRY|END_STAGE	DRY	DRY	NONE	1	DRY	DRY	NONE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	DRY	DRY	NONE	1	DRY	DRY	NONE	1	0	0	0
G750-K0017	chol	f102r1	f102r1.10	3	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	DRY	DRY	NONE	2	0	0	0
G750-K0018	chol	f102r1	f102r1.10	4	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0019	chol	f102r1	f102r1.15	2	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0020	sheol	f102r1	f102r1.5	2	MOIST	MOIST	MOIST	NONE	1	MOIST	MOIST	NONE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	1	NONE	NONE	NONE	1	0	0	0
G750-K0021	chol	f102r1	f102r1.5	7	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0022	oteol	f102r1	f102r1.8	6	COLD|MIDDLE_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0023	ykeey	f102v1	f102v1.10	6	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0024	chol	f102v1	f102v1.11	2	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0025	cheey	f102v1	f102v1.13	9	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0026	oteol	f102v1	f102v1.14	4	COLD|MIDDLE_STAGE	MIDDLE_STAGE	MIDDLE_STAGE	NONE	1	MIDDLE_STAGE	MIDDLE_STAGE	NONE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0027	sheol	f102v1	f102v1.19	4	MOIST	HOT|END_STAGE	NONE	HOT|END_STAGE	1	HOT|END_STAGE	NONE	HOT|END_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0028	okeeol	f102v1	f102v1.19	5	HOT|END_STAGE	MOIST	NONE	MOIST	1	MOIST	NONE	MOIST	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0029	qockhey	f102v1	f102v1.23	5	MIDDLE_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	MIDDLE_STAGE	MIDDLE_STAGE	NONE	2	0	0	0
G750-K0030	chol	f102v2	f102v2.22	7	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0031	cheeor	f102v2	f102v2.32	9	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0032	sheol	f102v2	f102v2.35	2	MOIST	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0033	cheey	f102v2	f102v2.36	2	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0034	cheey	f102v2	f102v2.38	2	DRY|END_STAGE	END_STAGE	END_STAGE	NONE	1	END_STAGE	END_STAGE	NONE	1	END_STAGE	END_STAGE	NONE	1	END_STAGE	END_STAGE	NONE	1	END_STAGE	END_STAGE	NONE	1	END_STAGE	END_STAGE	NONE	1	0	0	0
G750-K0035	ykeey	f102v2	f102v2.38	8	HOT|END_STAGE	MOIST	NONE	MOIST	1	MOIST	NONE	MOIST	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0036	cheey	f103r	f103r.16	4	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0037	chckhy	f103r	f103r.17	6	DRY|BEGIN_STAGE	HOT|END_STAGE	NONE	HOT|END_STAGE	1	HOT|END_STAGE	NONE	HOT|END_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0038	chckhy	f103r	f103r.23	4	DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0039	cheey	f103r	f103r.28	10	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0040	chal	f103r	f103r.29	5	DRY|BEGIN_STAGE	HOT|END_STAGE	NONE	HOT|END_STAGE	1	HOT|END_STAGE	NONE	HOT|END_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0041	chckhy	f103r	f103r.3	6	DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0042	chal	f103r	f103r.3	14	DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0043	chal	f103r	f103r.31	4	DRY|BEGIN_STAGE	HOT	NONE	HOT	1	HOT	NONE	HOT	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0044	chty	f103r	f103r.31	11	COLD|DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0045	okeedy	f103r	f103r.36	3	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	HOT|END_STAGE	HOT|END_STAGE	NONE	2	0	0	0
G750-K0046	chckhy	f103r	f103r.38	4	DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0047	ykeedy	f103r	f103r.39	1	HOT|END_STAGE	HOT|END_STAGE	HOT|END_STAGE	NONE	1	HOT|END_STAGE	HOT|END_STAGE	NONE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0048	sheol	f103r	f103r.40	4	MOIST	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0049	cheey	f103r	f103r.50	5	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0050	cheey	f103r	f103r.50	10	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0051	okeedy	f103r	f103r.6	4	HOT|END_STAGE	HOT|MOIST|MIDDLE_STAGE	HOT	MOIST|MIDDLE_STAGE	1	HOT|MOIST|MIDDLE_STAGE	HOT	MOIST|MIDDLE_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	HOT	HOT	NONE	1	HOT	HOT	NONE	1	0	0	0
G750-K0052	cheey	f103v	f103v.10	2	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0053	okeedy	f103v	f103v.12	4	HOT|END_STAGE	HOT|END_STAGE	HOT|END_STAGE	NONE	1	HOT|END_STAGE	HOT|END_STAGE	NONE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	HOT|END_STAGE	HOT|END_STAGE	NONE	1	HOT|END_STAGE	HOT|END_STAGE	NONE	1	0	0	0
G750-K0054	sheedy	f103v	f103v.12	12	MOIST|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0055	sheol	f103v	f103v.14	2	MOIST	MOIST	MOIST	NONE	1	MOIST	MOIST	NONE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	1	NONE	NONE	NONE	1	0	0	0
G750-K0056	chckhy	f103v	f103v.2	9	DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0057	cheey	f103v	f103v.23	4	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0058	ykeey	f103v	f103v.24	1	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	HOT|END_STAGE	HOT|END_STAGE	NONE	2	0	0	0
G750-K0059	ykeey	f103v	f103v.28	3	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0060	okeedy	f103v	f103v.3	10	HOT|END_STAGE	HOT|END_STAGE	HOT|END_STAGE	NONE	1	HOT|END_STAGE	HOT|END_STAGE	NONE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	HOT|END_STAGE	HOT|END_STAGE	NONE	1	HOT|END_STAGE	HOT|END_STAGE	NONE	1	0	0	0
G750-K0061	chckhy	f103v	f103v.31	10	DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0062	ykeey	f103v	f103v.35	3	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0063	ykeedy	f103v	f103v.4	8	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0064	chckhy	f103v	f103v.44	7	DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0065	cheey	f103v	f103v.45	3	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0066	chckhy	f103v	f103v.46	4	DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0067	chol	f103v	f103v.7	3	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0068	cheey	f104r	f104r.11	6	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0069	chol	f104r	f104r.20	5	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0070	chol	f104r	f104r.23	3	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0071	chol	f104r	f104r.23	7	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0072	chckhy	f104r	f104r.25	5	DRY|BEGIN_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	2	NONE	NONE	NONE	NONE	DRY	DRY	NONE	2	0	0	0
G750-K0073	chedar	f104r	f104r.28	2	DRY|MIDDLE_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0074	chedar	f104r	f104r.31	9	DRY|MIDDLE_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0075	chol	f104r	f104r.35	6	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0076	chol	f104r	f104r.39	6	DRY	COLD|BEGIN_STAGE	NONE	COLD|BEGIN_STAGE	1	COLD|BEGIN_STAGE	NONE	COLD|BEGIN_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0077	cheey	f104r	f104r.44	2	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0078	chl	f104r	f104r.5	5	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0079	cheedy	f104v	f104v.10	2	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0080	cheeky	f104v	f104v.11	4	HOT|DRY|BEGIN_STAGE|END_STAGE	HOT|DRY	HOT|DRY	NONE	1	HOT|DRY	HOT|DRY	NONE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0081	cheey	f104v	f104v.17	2	DRY|END_STAGE	DRY	DRY	NONE	1	DRY	DRY	NONE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	DRY	DRY	NONE	1	DRY	DRY	NONE	1	0	0	0
G750-K0082	sheedy	f104v	f104v.17	9	MOIST|END_STAGE	COLD	NONE	COLD	1	COLD	NONE	COLD	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0083	chol	f104v	f104v.19	2	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0084	sheeo	f104v	f104v.20	2	END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0085	sheedy	f104v	f104v.21	2	MOIST|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0086	qokchey	f104v	f104v.23	2	HOT|DRY|MIDDLE_STAGE	COLD|DRY|MIDDLE_STAGE	DRY|MIDDLE_STAGE	COLD	1	COLD|DRY|MIDDLE_STAGE	DRY|MIDDLE_STAGE	COLD	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0087	dsheey	f104v	f104v.25	1	MOIST|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0088	cheey	f104v	f104v.25	8	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0089	sheol	f104v	f104v.27	3	MOIST	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0090	sheol	f104v	f104v.27	4	MOIST	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0091	sheol	f104v	f104v.27	5	MOIST	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0092	chol	f104v	f104v.3	7	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0093	chol	f104v	f104v.31	4	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
