edition	k	model	records	held_folios	pseudo_gain_bits	selector_paid_gain_bits	positive_folios	local_p	max_20_p	null_median_bits	mean_cross_reading_ari
ZL3b	2	OPEN_WRAPPER7	170	8	0.606055937264	-3.715872157623	6	0.403221869661	0.999511837930	0.564098701253	0.696732796753
ZL3b	2	OPEN_COMPILER12	170	8	0.433256416881	-3.888671678007	6	0.443983402490	1.000000000000	0.407446290279	0.696732796753
ZL3b	2	OPEN_EDGE29	170	8	1.239199009243	-3.082729085645	6	0.128142543324	0.576763485477	0.846670495856	0.696732796753
ZL3b	2	RAW_OPEN_CHAR3_HASH32	170	8	0.266267704528	-4.055660390359	5	0.308518428118	1.000000000000	0.108457001916	0.696732796753
ZL3b	3	OPEN_WRAPPER7	170	8	0.855748889617	-3.466179205270	7	0.220649255553	0.964852330974	0.728230594846	0.240788837272
ZL3b	3	OPEN_COMPILER12	170	8	0.829967584752	-3.491960510136	6	0.179155479619	0.974127410300	0.655898332502	0.240788837272
ZL3b	3	OPEN_EDGE29	170	8	1.459948714778	-2.861979380110	6	0.266292409080	0.293141322919	1.261046532144	0.240788837272
ZL3b	3	RAW_OPEN_CHAR3_HASH32	170	8	0.092980224201	-4.228947870686	6	0.154503295094	1.000000000000	-0.193082284096	0.240788837272
ZL3b	4	OPEN_WRAPPER7	170	8	0.458360351761	-3.863567743126	6	0.130583353673	1.000000000000	0.276789833764	0.138903689124
ZL3b	4	OPEN_COMPILER12	170	8	0.371439131045	-3.950488963843	5	0.017329753478	1.000000000000	-0.006111369866	0.138903689124
ZL3b	4	OPEN_EDGE29	170	8	0.558322575087	-3.763605519801	6	0.427141811081	1.000000000000	0.510286666853	0.138903689124
ZL3b	4	RAW_OPEN_CHAR3_HASH32	170	8	0.762445032037	-3.559483062851	5	0.055894556993	0.993165731023	0.259074958095	0.138903689124
ZL3b	5	OPEN_WRAPPER7	170	8	0.913819610229	-3.408108484658	8	0.051012936295	0.932633634367	0.646298096907	0.075744327273
ZL3b	5	OPEN_COMPILER12	170	8	1.025946075528	-3.295982019359	7	0.031242372468	0.849157920430	0.691619932084	0.075744327273
ZL3b	5	OPEN_EDGE29	170	8	0.245351762191	-4.076576332697	4	0.930192824018	1.000000000000	0.570864276434	0.075744327273
ZL3b	5	RAW_OPEN_CHAR3_HASH32	170	8	0.223660026725	-4.098268068162	4	0.065657798389	1.000000000000	-0.155785917318	0.075744327273
ZL3b	6	OPEN_WRAPPER7	170	8	0.792472003009	-3.529456091878	7	0.431779350744	0.985599218941	0.770102880997	0.098727608176
