joint_tuple_id	host_id	coordinate_id	events	folios	sections	registers	wrapper_classes	renderer_state	semantic_state	translation_state
6afeb5c9ab9f6cbdea0d	6552f9cf5d36c3df0462	fa436db0093634469c20	7	6	B|C|H|P	HERBAL_A|HERBAL_B|OTHER_A|OTHER_B	NONE|s	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6b5f367d255d66ba1f17	7d1d29ca0920f516bfe6	fb61c4e2699f5c505886	1	1	H	HERBAL_B	che	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6b7a02779aba187a7be1	f5bada98c7f332065772	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6b87f28a1e2c52ae48c7	72e64f273f0aa680e9ce	fb61c4e2699f5c505886	1	1	S	OTHER_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6b89d6dd70635bc60fe0	bf6484a4774c762379ae	fb61c4e2699f5c505886	21	17	B|H|S	HERBAL_A|HERBAL_B|OTHER_B|STARS_RECIPE_B	NONE|ch|che|q|sh	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
6bba9c2a8e5dc6267d5d	147488f0e88554197146	b13789bf2874739e46f6	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6c41dfc4abdd093ca801	1c3c2326ac472387011f	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6cc6771571184f61c8b4	27b06eb37f8779fc2a83	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6cd8235aa8f16a2348e4	fd6eeadf1ceccbb6ac63	dda0ce94b28cdae70cfa	3	1	S	OTHER_A	NONE|d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6cded87a06676a71dd93	90c847af9f078b2ba1b2	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6d17f3066143daa6697c	ad7c3e1156c48e84aef1	c63952e1036200b3720a	2	2	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6d58257db5a0c8b2414d	923415cfe98ec551c7f0	fb61c4e2699f5c505886	2	2	H|S	HERBAL_A|STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6d585d5991262a630cc5	7d8a5484622d42fb0bf0	c63952e1036200b3720a	1	1	S	STARS_RECIPE_B	che	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6d60e660d8c67c36b226	b8610fde968c5aa9814c	fc65210860ff69184fdd	2	2	H|S	HERBAL_B|STARS_RECIPE_B	NONE|q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6d86f909abe25742879d	34ab8945bc2307b3af9a	fb61c4e2699f5c505886	2	1	C	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6dc06adf6d585831e26c	a32d6ae97257c68b2ba6	b13789bf2874739e46f6	1	1	S	STARS_RECIPE_B	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6e0727aa8ca4365a210b	4ce1558cd681afd5e793	fb61c4e2699f5c505886	1	1	T	OTHER_B	s	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6e8d37a62f8b14bb8772	ca3f09eab53992e0d10a	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6ee97fbc3d748e4c7a9f	fa086e21cbb4567359ae	f217eb91add9e43ad300	2	2	H|P	HERBAL_A|OTHER_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6f57f37cbcf895e389bf	f7876bb7cfb598c24e03	b13789bf2874739e46f6	1	1	H	HERBAL_A	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6f7677405fb8ece0763c	bcd27fc89755041c10de	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6f7ff8287eddf4da9fdb	df97f0d18162f7989c66	3733a056ae04c4305665	186	38	B|C|H|P|S|T	HERBAL_A|HERBAL_B|OTHER_A|OTHER_B|STARS_RECIPE_B	ch|che|sh	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
6f87b1da3746516a3bbe	dd6e4e8ea0ae99465579	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6fa0595330b58d0c26fb	4da055984b4613c39cbd	c63952e1036200b3720a	1	1	H	HERBAL_A	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
6fa26935c3c746586fc2	b8610fde968c5aa9814c	fd8993bdda8e52580636	1	1	H	HERBAL_A	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
702a4a7cb3c46c7e2f8f	ca68a37bc8e37e1bd65b	fb61c4e2699f5c505886	1	1	C	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
703b3c6e90b72c22d5d3	cd4651a51f736057a99f	fb61c4e2699f5c505886	1	1	H	HERBAL_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
70e34ef7b7d2d9845da4	cc94eec504a438634eed	fb61c4e2699f5c505886	1	1	T	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7128b515510001f75024	10ee5fda0b70c65f74a9	fb61c4e2699f5c505886	4	4	C|H|S	HERBAL_B|OTHER_B|STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
713b7ff66d6d0669f292	12ed250be945e61ef09a	b13789bf2874739e46f6	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
718f3bd32bd4a680eb2e	9cbdf9585a525f883b9b	fb61c4e2699f5c505886	1	1	H	HERBAL_A	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
71be715f272c8ffdbc8f	bb128b3dc6a490eabb04	fb61c4e2699f5c505886	3	3	H|S	HERBAL_A|STARS_RECIPE_B	NONE|che	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
71d75cba462433ea22f7	84146b0d2f65ff450fea	b13789bf2874739e46f6	4	3	B|S|T	OTHER_B|STARS_RECIPE_B	NONE|ch	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
71d93d399060a917a040	361fd6538a8de138acb7	0d1046a666a789adf544	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
71dce72838dc12547cf4	7eda85b5a917690ad472	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
71e0f0a510ce62c8d089	4711b00eeca03c00e387	b13789bf2874739e46f6	9	6	S|T	OTHER_B|STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
71e4bb59a649346b2e22	932aa9e62835ad15da82	fb61c4e2699f5c505886	1	1	H	HERBAL_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
720a3354c74ea61618bd	57f43c8f36edcaa22546	b4cf3d4564167ed1daee	2	2	H	HERBAL_A|HERBAL_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
721632236254d875eae3	2911e30d84527918967f	9a86ad2c9bcdc4433a17	1	1	H	HERBAL_A	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7249edc4df3419c26999	c8a3e519123c7655a80e	fb61c4e2699f5c505886	3	3	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7273cde336ba6a469604	e87af5ab8c8d3c58b32d	fb61c4e2699f5c505886	1	1	H	HERBAL_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7297ce0c15b8d01eb455	df97f0d18162f7989c66	b4cf3d4564167ed1daee	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
731dc434beec3c969c0b	a0c26c3e85856f37b025	b13789bf2874739e46f6	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
733c72e56b7453f84aa3	37bee0882bab8101f227	b13789bf2874739e46f6	2	2	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
739ee2e38806fd59f064	9a962f8652e8fe66df5a	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
73b9d23977e66d353e19	564cce36897a25f3d9c3	fb61c4e2699f5c505886	1	1	H	HERBAL_A	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
74264595e445c23ffad6	b8610fde968c5aa9814c	fa436db0093634469c20	1	1	H	HERBAL_A	t	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
74304c7372583ef19827	8bf82a49e00f67b3778d	c63952e1036200b3720a	1	1	B	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7456e29e1b0af4d77947	107e783ac6f24f7d8592	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
746a1718863d11a2ed1a	ccd09db9810cad8a126e	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7476d6ac28b7480c928d	3e3f162ed6127132f8f7	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	t	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7486671e3d3eea64a779	587cf96aca050e2323a8	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
749ca57665ce006ade1c	c39598da675722d0b0bf	b13789bf2874739e46f6	1	1	S	STARS_RECIPE_B	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
74a8d1e910b360521121	fe91c9b99321b4e79760	9a86ad2c9bcdc4433a17	1	1	H	HERBAL_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
74c76d589d44120f647b	9226b833d83961099daf	fb61c4e2699f5c505886	5	5	B|S|T	OTHER_B|STARS_RECIPE_B	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
74e291f069c889b03fb6	ec6b04dc2d4d0ef16e8b	fb61c4e2699f5c505886	1	1	H	HERBAL_B	che	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7529ef5436f0d22d2aae	0bb0b938562b8495b2c3	fb61c4e2699f5c505886	1	1	T	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
754e4627b15d20cd3e25	406aeec6c2cf76c29878	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7550e4fa631255a43108	79e3d306f1fa563218d8	9a86ad2c9bcdc4433a17	2	2	B|S	OTHER_B|STARS_RECIPE_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
75a523fcf039b006f97b	7d0fcebba54a73a14cdc	9a86ad2c9bcdc4433a17	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
75a59b56acbfb44725e2	3211c5df6bfb46dc7803	fb61c4e2699f5c505886	1	1	H	HERBAL_B	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
75be36f4b9d24cbb7382	1a288b4f3fb1ef45f6b7	c63952e1036200b3720a	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
760e43f6b0d47eff9a66	c9302fd41dc3ac96f348	b13789bf2874739e46f6	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
761c7b4c6548b67f77e8	dd8ed4f34eaa9b15bac0	b13789bf2874739e46f6	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7638891c76e04e1adcec	fef125473974d80ac2bb	fb61c4e2699f5c505886	1	1	T	OTHER_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
7648125b437ed11aa4f8	b4523b7e58fbf419b10d	b13789bf2874739e46f6	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
764e46f2fe8b4dce7ddc	65a51ca8c8554f31a2f6	fb61c4e2699f5c505886	3	3	B|S	OTHER_B|STARS_RECIPE_B	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
769eac8497f2e9d6a119	5bad3ee165076f5cfe57	fb61c4e2699f5c505886	7	6	B|H|T	HERBAL_A|HERBAL_B|OTHER_B	d|t	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
76c78619094571ab3ca9	1010df94ca03ef5a75fc	fb61c4e2699f5c505886	1	1	B	OTHER_B	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
76e476b136ac4268b154	c92f077165601f578f02	fc65210860ff69184fdd	1	1	S	STARS_RECIPE_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
771316a508a74b6a9ee6	84146b0d2f65ff450fea	dda0ce94b28cdae70cfa	4	4	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
77303008fb0a30e38b41	562bdca9a42f5f1676ea	fb61c4e2699f5c505886	1	1	H	HERBAL_A	ch	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
