feature_index	scope	page_host	zl_records	zl_folios	it_records	rf_records	all_reading_mask_jaccard	feature_id	claim_state
241	OPEN_BODY	okol	16	6	16	16	1.000000000000	67544dd6a8f248e6	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
242	OPEN_BODY	okor	9	5	9	6	0.545454545455	78e51982fdf5e2bd	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
243	OPEN_BODY	oky	20	7	21	21	0.826086956522	03999adf607911c1	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
244	OPEN_BODY	ol	18	7	21	17	0.761904761905	4d50765f2f83add1	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
245	OPEN_BODY	olche	6	3	5	5	0.833333333333	75ed93562b204984	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
246	OPEN_BODY	olk	23	7	25	22	0.678571428571	db01e0074fcc5bff	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
247	OPEN_BODY	olkee	16	7	16	16	1.000000000000	971c918ecea9091f	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
248	OPEN_BODY	olkeeo	5	4	4	5	0.666666666667	d05eed187f7c4dfd	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
249	OPEN_BODY	olkeey	5	3	5	5	1.000000000000	02d47b8eb55b1d46	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
250	OPEN_BODY	op	19	7	19	18	0.809523809524	a25d94e578d6d15e	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
251	OPEN_BODY	opch	15	6	14	14	0.705882352941	5b2f254cf67cc841	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
252	OPEN_BODY	opche	25	7	26	24	0.814814814815	fffbde642b00f462	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
253	OPEN_BODY	opched	5	4	5	5	1.000000000000	9c23e8bbc58f4efb	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
254	OPEN_BODY	opchey	12	5	12	12	1.000000000000	58f089f1f1dd3ac9	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
255	OPEN_BODY	or	75	7	76	72	0.802469135802	0e2bc69a2a210467	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
256	OPEN_BODY	os	26	6	28	28	0.774193548387	5d2f103f1faa7960	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
257	OPEN_BODY	ot	99	7	96	98	0.940594059406	65ac22456dd1b2e9	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
258	OPEN_BODY	otchd	5	2	5	6	0.833333333333	ea373d53831ef0cc	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
259	OPEN_BODY	otey	6	4	6	6	1.000000000000	26a06306e2535128	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
260	OPEN_BODY	oto	10	6	9	9	0.538461538462	d8bc00d43b41848d	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
261	OPEN_BODY	p	9	5	6	6	0.555555555556	5735bca2f6935939	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
262	OPEN_BODY	pchd	7	5	7	8	0.875000000000	5e40d98987b6d304	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
263	OPEN_BODY	pche	5	3	5	4	0.800000000000	9c8cd14738ef127c	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
264	OPEN_BODY	pched	6	5	5	6	0.833333333333	48c9aaa351876475	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
265	OPEN_BODY	pol	8	4	8	8	1.000000000000	95f624f204628eff	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
266	OPEN_BODY	por	7	3	8	6	0.750000000000	f34f5f2ef52fa8bf	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
267	OPEN_BODY	r	44	7	35	42	0.627450980392	a36ab2f4dfe8b2f2	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
268	OPEN_BODY	ra	5	4	6	5	0.833333333333	fbe0cf754b6ee9be	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
269	OPEN_BODY	s	25	6	13	22	0.428571428571	9be61c4ec4a7dc4c	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
270	OPEN_BODY	she	10	7	11	10	0.909090909091	09b451ddcff23f71	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
271	OPEN_BODY	t	5	4	6	5	0.833333333333	56c270a6639ac258	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
272	OPEN_BODY	y	101	7	93	96	0.884615384615	7b5ad694e517f6ae	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
273	OPEN_BODY	yched	5	4	6	6	0.833333333333	efb25249a5f48108	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
274	OPEN_BODY	ycheey	5	4	8	8	0.625000000000	47efad11d5649b5f	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
275	OPEN_BODY	ycheo	6	3	7	5	0.625000000000	c112ac436fb2d349	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
276	OPEN_BODY	yk	10	5	10	10	0.538461538462	ed73ae0daa0013a2	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
277	OPEN_BODY	ykee	5	5	6	6	0.833333333333	7f80508a07dbc0b2	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
278	OPEN_BODY	ykeey	5	3	5	5	1.000000000000	e45f44600343aa90	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
279	OPEN_BODY	yt	11	6	12	13	0.846153846154	fcd7bc1fd735caf7	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
280	OPEN_BODY	ytee	7	4	7	7	1.000000000000	53d28d4cb5fcdb51	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
