scope	representation	page	label_locus	true_assembly	top_similarity	bottom_similarity	predicted_assembly	correct
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.35	TOP	0.0277777777778	0.0405405405405	BOTTOM	0
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.36	TOP	0.0526315789474	0.025641025641	TOP	1
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.37	TOP	0.0263157894737	0.0128205128205	TOP	1
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.50	BOTTOM	0	0.025	BOTTOM	1
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.51	BOTTOM	0.0769230769231	0.0933333333333	BOTTOM	1
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.52	BOTTOM	0.0555555555556	0.04	TOP	0
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.53	BOTTOM	0	0	TIE	0
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.54	BOTTOM	0	0.0266666666667	BOTTOM	1
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.55	BOTTOM	0	0.0394736842105	BOTTOM	1
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.56	BOTTOM	0	0.0266666666667	BOTTOM	1
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f83r	f83r.45	TOP	0.025641025641	0.0277777777778	BOTTOM	0
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f83r	f83r.46	TOP	0.105263157895	0.114285714286	BOTTOM	0
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f83r	f83r.51	BOTTOM	0	0	TIE	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.18	TOP	0	0.0105263157895	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.19	TOP	0.0612244897959	0.031914893617	TOP	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.20	TOP	0.0612244897959	0.0430107526882	TOP	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.21	TOP	0.0196078431373	0.0430107526882	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.24	TOP	0.0192307692308	0.0315789473684	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.25	TOP	0.106382978723	0.054347826087	TOP	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.26	TOP	0.0204081632653	0.0106382978723	TOP	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.27	TOP	0	0.0215053763441	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.28	TOP	0.0416666666667	0.0326086956522	TOP	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.29	TOP	0	0	TIE	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.30	TOP	0	0.0212765957447	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.31	TOP	0.0204081632653	0.0326086956522	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.32	TOP	0.0196078431373	0.031914893617	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.33	TOP	0.0833333333333	0.0430107526882	TOP	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.34	TOP	0.0408163265306	0.0212765957447	TOP	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.35	TOP	0.0833333333333	0.054347826087	TOP	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.36	TOP	0.0196078431373	0.0210526315789	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.37	TOP	0.0833333333333	0.0430107526882	TOP	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.50	BOTTOM	0.0576923076923	0.0526315789474	TOP	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.51	BOTTOM	0.0188679245283	0.0531914893617	BOTTOM	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.52	BOTTOM	0.0625	0.0322580645161	TOP	0
