control_id	k	split	held_value	model	scored_events	bits	top1
AUGSBURG_ACCOUNTS_1402_1424	4	HELD_PHYSICAL_FOLIO	F:AUGSBURG_ACCOUNTS_1402_1424:F09	OTHER_POSITION_HOST_BAG	396	112.040515875166	376
AUGSBURG_ACCOUNTS_1402_1424	4	HELD_PHYSICAL_FOLIO	F:AUGSBURG_ACCOUNTS_1402_1424:F09	LATENT_HOST_CLASS	396	130.980742626680	376
AUGSBURG_ACCOUNTS_1402_1424	4	HELD_PHYSICAL_FOLIO	F:AUGSBURG_ACCOUNTS_1402_1424:F10	POSITION_CONTEXT	328	123.653676893504	302
AUGSBURG_ACCOUNTS_1402_1424	4	HELD_PHYSICAL_FOLIO	F:AUGSBURG_ACCOUNTS_1402_1424:F10	OTHER_POSITION_HOST_BAG	328	139.808968278030	302
AUGSBURG_ACCOUNTS_1402_1424	4	HELD_PHYSICAL_FOLIO	F:AUGSBURG_ACCOUNTS_1402_1424:F10	LATENT_HOST_CLASS	328	157.144277038646	302
AUGSBURG_ACCOUNTS_1402_1424	4	HELD_PHYSICAL_FOLIO	F:AUGSBURG_ACCOUNTS_1402_1424:F11	POSITION_CONTEXT	272	62.540212973253	261
AUGSBURG_ACCOUNTS_1402_1424	4	HELD_PHYSICAL_FOLIO	F:AUGSBURG_ACCOUNTS_1402_1424:F11	OTHER_POSITION_HOST_BAG	272	62.568081741857	261
AUGSBURG_ACCOUNTS_1402_1424	4	HELD_PHYSICAL_FOLIO	F:AUGSBURG_ACCOUNTS_1402_1424:F11	LATENT_HOST_CLASS	272	79.713138067933	261
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0009	POSITION_CONTEXT	30	22.634711416322	27
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0009	OTHER_POSITION_HOST_BAG	30	16.200155884483	27
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0009	LATENT_HOST_CLASS	30	20.004312422846	27
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0010	POSITION_CONTEXT	22	31.678616790377	16
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0010	OTHER_POSITION_HOST_BAG	22	23.085619000856	16
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0010	LATENT_HOST_CLASS	22	27.013939393810	16
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0011	POSITION_CONTEXT	12	9.503277356825	10
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0011	OTHER_POSITION_HOST_BAG	12	9.837007861887	10
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0011	LATENT_HOST_CLASS	12	9.566969614586	10
