page	physical_folio	source_lines	source_groups	first_locus	first_groups	body_after_first_lines	body_after_first_groups	last_locus	last_groups	selection	semantic_role
f31r	f31	8	33	f31r.7	1	7	32	f31r.16	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f31v	f31	4	14	f31v.3	4	3	10	f31v.11	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f32r	f32	14	48	f32r.1	7	13	41	f32r.19	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f32v	f32	6	33	f32v.1	1	5	32	f32v.11	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f33r	f33	4	22	f33r.2	7	3	15	f33r.7	9	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f33v	f33	7	52	f33v.2	10	6	42	f33v.11	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f34r	f34	9	76	f34r.1	9	8	67	f34r.15	8	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f34v	f34	4	41	f34v.2	11	3	30	f34v.10	9	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f35r	f35	11	55	f35r.2	2	10	53	f35r.15	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f35v	f35	17	50	f35v.2	1	16	49	f35v.21	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f36r	f36	7	38	f36r.2	9	6	29	f36r.9	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f36v	f36	11	37	f36v.3	8	10	29	f36v.14	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f37r	f37	6	25	f37r.2	3	5	22	f37r.9	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f37v	f37	18	56	f37v.2	3	17	53	f37v.23	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f38r	f38	3	17	f38r.1	7	2	10	f38r.6	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f38v	f38	6	35	f38v.2	5	5	30	f38v.8	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f39r	f39	7	46	f39r.3	3	6	43	f39r.16	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f39v	f39	10	72	f39v.2	11	9	61	f39v.14	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f3r	f3	17	84	f3r.1	4	16	80	f3r.20	6	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f3v	f3	10	53	f3v.1	8	9	45	f3v.14	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f40r	f40	6	30	f40r.1	1	5	29	f40r.11	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f40v	f40	11	48	f40v.1	3	10	45	f40v.19	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f41r	f41	3	20	f41r.6	8	2	12	f41r.11	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f41v	f41	4	17	f41v.2	9	3	8	f41v.8	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f42r	f42	11	63	f42r.3	5	10	58	f42r.23	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f42v	f42	11	56	f42v.2	10	10	46	f42v.16	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f43r	f43	5	32	f43r.2	10	4	22	f43r.10	11	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f43v	f43	6	49	f43v.3	12	5	37	f43v.16	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f44r	f44	8	39	f44r.1	6	7	33	f44r.11	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f44v	f44	10	55	f44v.1	3	9	52	f44v.12	6	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f45r	f45	8	46	f45r.2	1	7	45	f45r.11	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f45v	f45	5	30	f45v.4	6	4	24	f45v.11	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f46r	f46	4	40	f46r.4	10	3	30	f46r.12	12	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f46v	f46	6	40	f46v.4	10	5	30	f46v.13	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f47r	f47	6	37	f47r.3	8	5	29	f47r.11	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f47v	f47	10	55	f47v.1	6	9	49	f47v.13	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f48r	f48	7	50	f48r.1	10	6	40	f48r.9	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f48v	f48	8	82	f48v.1	9	7	73	f48v.10	13	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f49r	f49	14	63	f49r.2	7	13	56	f49r.19	6	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f49v	f49	20	90	f49v.2	4	19	86	f49v.52	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f4r	f4	10	44	f4r.1	8	9	36	f4r.13	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f4v	f4	9	38	f4v.1	6	8	32	f4v.14	1	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f50r	f50	4	41	f50r.2	12	3	29	f50r.5	11	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f50v	f50	5	41	f50v.1	10	4	31	f50v.11	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f51r	f51	4	25	f51r.2	4	3	21	f51r.15	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f51v	f51	7	36	f51v.2	8	6	28	f51v.13	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f52r	f52	4	24	f52r.1	4	3	20	f52r.5	8	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f52v	f52	6	25	f52v.6	4	5	21	f52v.14	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f53r	f53	4	20	f53r.2	2	3	18	f53r.9	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f53v	f53	7	30	f53v.2	7	6	23	f53v.13	1	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f54r	f54	5	32	f54r.2	3	4	29	f54r.12	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f54v	f54	6	26	f54v.4	6	5	20	f54v.16	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f55r	f55	7	54	f55r.2	9	6	45	f55r.13	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
