unit_id	edition	page	physical_folio	star_ordinal	locus	rays	tail	color	provenance	open_host_sha256	body_host_sha256	claim_state
6db80f0ee8c008a15cee	ZL3b	f104r	f104	1	f104r.1	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	0ca2fbf7a660509275815223e9b648035588f439c6a7d50f6a65875f1cbff537	0e6003c000f635f0691fe9af2879bc22376542412ad675def1a9c04731567cbc	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
3dadd253fb35b8d6ec30	ZL3b	f104r	f104	2	f104r.5	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	3b7627b463986a443d6d0a7dafe1f10bd667125af67981c00a66020869f1b4a5	688b8c9ee63d8b288cb0497bfd16d7707cd061b5413999ef291d096df29b1097	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
c0c387a77199dfc7035c	ZL3b	f104r	f104	3	f104r.10	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	866b08c8ea2f02fe880938a025feea8d6efd2054cb6fc0ffb3c13eeaaa92f785	6efcfde40b4a03466842e67b959ab4db95ce6390a4eebadd2366a8c47f279d80	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
c2c04818678da6b158be	ZL3b	f104r	f104	4	f104r.12	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	4c3d23771b1fa6bb61045b33ee8a80eda5e1235476504b2e6496d08590c17f1a	0e73b87ea6a510dfebb5644447a58c44114e1f646982080e33ef5b35acb3b5d2	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
e4e3da7e471a6aabadd3	ZL3b	f104r	f104	5	f104r.16	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	09fcc18aa294f1775f30c4aa05d0815dbb1f697918ca3e70dac88d03e101c793	5dce4c9bd421bfddfabf213163a1c4756e92100ddb9d306ea67cb6ca54ce2208	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
53baeee0bf0048479ea7	ZL3b	f104r	f104	6	f104r.19	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	5c9312a7dfc2f0b597e26fd47aa4f9ede045f520d43b7ba7fe812ae923003abe	37b9237b297e64aee7586fd6db25ff1c7cf730beb2fb795ab272c2ce378a7429	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
c2e6982ccbbbf727afaa	ZL3b	f104r	f104	7	f104r.22	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	bacc53969d74eadde53de850798a6e8ede11e8b3c259568ae9257350080dfc52	ce747ef6c8b62a2641b1eaaa8e42fd6ad2a51cb556d27de409e2ac88783c3a9b	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
d2b9774893da031bc9a8	ZL3b	f104r	f104	8	f104r.27	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	84c83325db779df1c7912ddc2f42f6e44656396b3796138d0ff137ebfd11536e	9aada4bec753abf710c986adef68cdb894c71eedeef6b11975365ef35534f588	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
208fe32ac45f8b2be542	ZL3b	f104r	f104	9	f104r.30	9	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	8537fdbd8be0a8b91a207b48cfb9da198ca738c26555c02ecbbbfb8dd49eb4e3	1594900867712fdca3059dea4375f2a79544984d9163ed1102e8e90fff44b8f1	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
6b378a31637695966854	ZL3b	f104r	f104	10	f104r.34	9	2	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	13c3ee8b7eb8489d0f0c8ea9a2808feeda21a5c9867a29777793d38b38202a0a	6b29c8824ad9459148a0216fcc7b146f1d7695e7dc638cabe03ed78f8a66ec18	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
2718be2e4ac01f6a0cd9	ZL3b	f104r	f104	11	f104r.36	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	9f70ce98425edcfe45faada3a64c882ea8fd3d9d19c84a568cec6f5562e81709	e5dede0b95337a0a6c29fbac873ebac80504d1b424d066d764290b89aa72a2f4	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
dec7621062ddc0ea76ab	ZL3b	f104r	f104	12	f104r.39	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	50f545b3203208b7f52acd578d1760afc91a7e881a3529cb724449978fcc5a4e	ea54f4f7a5d148a57f60bb2b41e65049292464a855ff697647a602d92791cba9	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
9af3e52fedd781165858	ZL3b	f104r	f104	13	f104r.43	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	6bfd6ed0f91ce0462d3cacf3e4b9bab5afb78aa9564d608ace156fb1b98309a8	975c55cf86319d3c411c2eb28221d1e242ad173cd0dc6ffc38c51a77b8e85391	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
