book	query_record	truth_dimension	truth_target_record	truth_set_jaccard	representation	candidate_pool	model_rank	reciprocal_rank	top1	top10	top_decile	normalized_rank	model_set_jaccard
Band2	NB_B2_R000004	ADDRESSEE	NB_B2_R000044	1	MARKER_AND_POSITION	461	83	0.0120481927711	0	0	0	0.180043383948	0.8
Band2	NB_B2_R000004	ADDRESSEE	NB_B2_R000044	1	HOST_PLUS_COMPILER	461	95	0.0105263157895	0	0	0	0.206073752711	0.138613861386
Band2	NB_B2_R000005	CONTENT	NB_B2_R000243	0.323529411765	RAW_GROUP_IDENTITY	461	2	0.5	0	1	1	0.00433839479393	0.22619047619
Band2	NB_B2_R000005	CONTENT	NB_B2_R000243	0.323529411765	RAW_CHAR3	461	15	0.0666666666667	0	0	1	0.0325379609544	0.290429042904
Band2	NB_B2_R000005	CONTENT	NB_B2_R000243	0.323529411765	PAGE_HOST_IDENTITY	461	7	0.142857142857	0	1	1	0.0151843817787	0.240506329114
Band2	NB_B2_R000005	CONTENT	NB_B2_R000243	0.323529411765	PAGE_HOST_CHAR3	461	16	0.0625	0	0	1	0.0347071583514	0.290441176471
Band2	NB_B2_R000005	CONTENT	NB_B2_R000243	0.323529411765	COMPILER_SIGNATURE	461	5	0.2	0	1	1	0.0108459869848	0.583333333333
Band2	NB_B2_R000005	CONTENT	NB_B2_R000243	0.323529411765	MARKER_AND_POSITION	461	340	0.00294117647059	0	0	0	0.737527114967	0.5
Band2	NB_B2_R000005	CONTENT	NB_B2_R000243	0.323529411765	HOST_PLUS_COMPILER	461	2	0.5	0	1	1	0.00433839479393	0.22619047619
Band2	NB_B2_R000005	ADDRESSEE	NB_B2_R000026	0.2	RAW_GROUP_IDENTITY	461	78	0.0128205128205	0	0	0	0.169197396963	0.131313131313
Band2	NB_B2_R000005	ADDRESSEE	NB_B2_R000026	0.2	RAW_CHAR3	461	4	0.25	0	1	1	0.00867678958785	0.310650887574
Band2	NB_B2_R000005	ADDRESSEE	NB_B2_R000026	0.2	PAGE_HOST_IDENTITY	461	12	0.0833333333333	0	0	1	0.0260303687636	0.22619047619
Band2	NB_B2_R000005	ADDRESSEE	NB_B2_R000026	0.2	PAGE_HOST_CHAR3	461	4	0.25	0	1	1	0.00867678958785	0.334470989761
Band2	NB_B2_R000005	ADDRESSEE	NB_B2_R000026	0.2	COMPILER_SIGNATURE	461	37	0.027027027027	0	0	1	0.0802603036876	0.466666666667
Band2	NB_B2_R000005	ADDRESSEE	NB_B2_R000026	0.2	MARKER_AND_POSITION	461	242	0.00413223140496	0	0	0	0.524945770065	0.5625
Band2	NB_B2_R000005	ADDRESSEE	NB_B2_R000026	0.2	HOST_PLUS_COMPILER	461	78	0.0128205128205	0	0	0	0.169197396963	0.131313131313
Band2	NB_B2_R000006	CONTENT	NB_B2_R000243	0.323943661972	RAW_GROUP_IDENTITY	460	1	1	1	1	1	0.00217391304348	0.22
Band2	NB_B2_R000006	CONTENT	NB_B2_R000243	0.323943661972	RAW_CHAR3	460	16	0.0625	0	0	1	0.0347826086957	0.278551532033
Band2	NB_B2_R000006	CONTENT	NB_B2_R000243	0.323943661972	PAGE_HOST_IDENTITY	460	8	0.125	0	1	1	0.0173913043478	0.231578947368
Band2	NB_B2_R000006	CONTENT	NB_B2_R000243	0.323943661972	PAGE_HOST_CHAR3	460	19	0.0526315789474	0	0	1	0.0413043478261	0.271028037383
Band2	NB_B2_R000006	CONTENT	NB_B2_R000243	0.323943661972	COMPILER_SIGNATURE	460	85	0.0117647058824	0	0	0	0.184782608696	0.4375
Band2	NB_B2_R000006	CONTENT	NB_B2_R000243	0.323943661972	MARKER_AND_POSITION	460	414	0.0024154589372	0	0	0	0.9	0.5
Band2	NB_B2_R000006	CONTENT	NB_B2_R000243	0.323943661972	HOST_PLUS_COMPILER	460	1	1	1	1	1	0.00217391304348	0.22
Band2	NB_B2_R000006	ADDRESSEE	NB_B2_R000222	0.416666666667	RAW_GROUP_IDENTITY	460	301	0.00332225913621	0	0	0	0.654347826087	0.0924369747899
Band2	NB_B2_R000006	ADDRESSEE	NB_B2_R000222	0.416666666667	RAW_CHAR3	460	72	0.0138888888889	0	0	0	0.15652173913	0.245997088792
Band2	NB_B2_R000006	ADDRESSEE	NB_B2_R000222	0.416666666667	PAGE_HOST_IDENTITY	460	202	0.0049504950495	0	0	0	0.439130434783	0.145
Band2	NB_B2_R000006	ADDRESSEE	NB_B2_R000222	0.416666666667	PAGE_HOST_CHAR3	460	61	0.016393442623	0	0	0	0.132608695652	0.245469522241
Band2	NB_B2_R000006	ADDRESSEE	NB_B2_R000222	0.416666666667	COMPILER_SIGNATURE	460	354	0.00282485875706	0	0	0	0.769565217391	0.3
Band2	NB_B2_R000006	ADDRESSEE	NB_B2_R000222	0.416666666667	MARKER_AND_POSITION	460	352	0.00284090909091	0	0	0	0.765217391304	0.555555555556
Band2	NB_B2_R000006	ADDRESSEE	NB_B2_R000222	0.416666666667	HOST_PLUS_COMPILER	460	301	0.00332225913621	0	0	0	0.654347826087	0.0924369747899
Band2	NB_B2_R000007	CONTENT	NB_B2_R000408	0.277777777778	RAW_GROUP_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.22641509434
Band2	NB_B2_R000007	CONTENT	NB_B2_R000408	0.277777777778	RAW_CHAR3	463	2	0.5	0	1	1	0.00431965442765	0.352822580645
Band2	NB_B2_R000007	CONTENT	NB_B2_R000408	0.277777777778	PAGE_HOST_IDENTITY	463	2	0.5	0	1	1	0.00431965442765	0.258741258741
Band2	NB_B2_R000007	CONTENT	NB_B2_R000408	0.277777777778	PAGE_HOST_CHAR3	463	3	0.333333333333	0	1	1	0.00647948164147	0.341628959276
Band2	NB_B2_R000007	CONTENT	NB_B2_R000408	0.277777777778	COMPILER_SIGNATURE	463	41	0.0243902439024	0	0	1	0.0885529157667	0.458333333333
Band2	NB_B2_R000007	CONTENT	NB_B2_R000408	0.277777777778	MARKER_AND_POSITION	463	150	0.00666666666667	0	0	0	0.323974082073	0.733333333333
Band2	NB_B2_R000007	CONTENT	NB_B2_R000408	0.277777777778	HOST_PLUS_COMPILER	463	1	1	1	1	1	0.00215982721382	0.22641509434
