world_index	model	held_bits
26	ABBREVIATION_HEAVY_LANGUAGE	70738.018330193052
26	TECHNICAL_NOTATION	77701.095328116193
26	HYBRID	78567.278095759117
27	COMPRESSED_NATURAL_LANGUAGE	71030.680370106667
27	ABBREVIATION_HEAVY_LANGUAGE	70679.530503477581
27	TECHNICAL_NOTATION	77844.730878202347
27	HYBRID	78510.745145116656
28	COMPRESSED_NATURAL_LANGUAGE	71034.807715971663
28	ABBREVIATION_HEAVY_LANGUAGE	70850.938061039822
28	TECHNICAL_NOTATION	77790.304631609790
28	HYBRID	78395.730364866715
29	COMPRESSED_NATURAL_LANGUAGE	71015.916792302014
29	ABBREVIATION_HEAVY_LANGUAGE	70761.887745863336
29	TECHNICAL_NOTATION	77824.722050491648
29	HYBRID	78538.266812263566
30	COMPRESSED_NATURAL_LANGUAGE	70980.827603965881
30	ABBREVIATION_HEAVY_LANGUAGE	70493.695529977325
30	TECHNICAL_NOTATION	77990.680153768524
30	HYBRID	78632.839594010482
31	COMPRESSED_NATURAL_LANGUAGE	70979.772794088422
31	ABBREVIATION_HEAVY_LANGUAGE	70775.850607527027
31	TECHNICAL_NOTATION	77815.772333835019
31	HYBRID	78459.212571876342
32	COMPRESSED_NATURAL_LANGUAGE	70849.084064306895
32	ABBREVIATION_HEAVY_LANGUAGE	70777.951248150974
32	TECHNICAL_NOTATION	77889.387553174281
32	HYBRID	78581.293220844338
33	COMPRESSED_NATURAL_LANGUAGE	70918.429444270412
33	ABBREVIATION_HEAVY_LANGUAGE	70749.219595949398
33	TECHNICAL_NOTATION	77889.063738855883
33	HYBRID	78528.709212275571
34	COMPRESSED_NATURAL_LANGUAGE	70916.773368073889
34	ABBREVIATION_HEAVY_LANGUAGE	70718.740477621308
34	TECHNICAL_NOTATION	77897.121197588203
34	HYBRID	78459.196849430184
35	COMPRESSED_NATURAL_LANGUAGE	71014.497375452134
35	ABBREVIATION_HEAVY_LANGUAGE	70859.149437786866
35	TECHNICAL_NOTATION	77633.268311760927
35	HYBRID	78466.183764025685
36	COMPRESSED_NATURAL_LANGUAGE	71108.774350532200
36	ABBREVIATION_HEAVY_LANGUAGE	70530.986964004755
36	TECHNICAL_NOTATION	77763.926912855808
36	HYBRID	78610.880220408435
37	COMPRESSED_NATURAL_LANGUAGE	70868.686619243905
37	ABBREVIATION_HEAVY_LANGUAGE	70676.834078055239
37	TECHNICAL_NOTATION	78059.867649116713
37	HYBRID	78531.504066749199
38	COMPRESSED_NATURAL_LANGUAGE	71004.350206707473
38	ABBREVIATION_HEAVY_LANGUAGE	70719.238309184570
38	TECHNICAL_NOTATION	77968.865440859765
38	HYBRID	78589.996982744138
39	COMPRESSED_NATURAL_LANGUAGE	70782.428292921191
39	ABBREVIATION_HEAVY_LANGUAGE	70890.255359254297
39	TECHNICAL_NOTATION	78005.406841818607
39	HYBRID	78473.054147653689
40	COMPRESSED_NATURAL_LANGUAGE	70737.907247459269
40	ABBREVIATION_HEAVY_LANGUAGE	70586.824853749567
40	TECHNICAL_NOTATION	77752.758219389361
40	HYBRID	78494.559702975617
41	COMPRESSED_NATURAL_LANGUAGE	71028.670048567437
41	ABBREVIATION_HEAVY_LANGUAGE	70745.279695617573
41	TECHNICAL_NOTATION	77822.571615198773
41	HYBRID	78509.832449397043
42	COMPRESSED_NATURAL_LANGUAGE	71004.319469879512
42	ABBREVIATION_HEAVY_LANGUAGE	70647.233839738736
42	TECHNICAL_NOTATION	77721.077234288081
42	HYBRID	78393.139554547422
43	COMPRESSED_NATURAL_LANGUAGE	71009.873680379620
