panel	reading_mode	representation	target_loci	descriptor_tokens	positive_cells	baseline_bits	held_bits	gain_bits	selector_paid_gain_bits	positive_gain_folios	min_folio_gain	max_folio_gain	local_permutation_p	max_representation_p
ALL_GDT095_TOKENS	RF1b	EDGE_STRIPPED_CHAR3	44	19	137	403.306290058	472.881450347	-69.5751602892	NOT_PRIMARY	1	-28.5256972622	0.604422408201	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	RF1b	EDGE_ONLY	44	19	137	403.306290058	537.881920386	-134.575630328	NOT_PRIMARY	0	-43.1475205396	-3.67290074465	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	ZL3b	RAW_CHAR3	44	19	137	403.306290058	428.341223848	-25.0349337902	NOT_PRIMARY	0	-13.2761715276	-0.157615886078	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	ZL3b	PAGE_HOST_PLUS_COMPILER_ACTIVE	44	19	137	403.306290058	433.495067249	-30.1887771905	NOT_PRIMARY	1	-12.7136421124	0.559072412355	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	ZL3b	RESIDUAL_HOST_CHAR3	44	19	137	403.306290058	448.803335707	-45.4970456489	NOT_PRIMARY	0	-17.7661717546	-0.39563585116	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	ZL3b	COMPILER_ACTIVE	44	19	137	403.306290058	452.43771968	-49.1314296222	NOT_PRIMARY	0	-18.5901826884	-2.65466221614	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	ZL3b	STA_FAMILY_CHAR3	44	19	137	403.306290058	462.583058879	-59.2767688207	NOT_PRIMARY	1	-21.7697635309	2.73959266341	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	ZL3b	PAGE_HOST_CHAR3	44	19	137	403.306290058	467.507794388	-64.2015043297	NOT_PRIMARY	1	-23.8296165044	0.808134512325	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	ZL3b	EDGE_STRIPPED_CHAR3	44	19	137	403.306290058	474.971965599	-71.6656755406	NOT_PRIMARY	0	-32.2046879916	-1.34233001344	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	ZL3b	EDGE_ONLY	44	19	137	403.306290058	545.837597866	-142.531307808	NOT_PRIMARY	0	-43.1475205396	-8.02973722351	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	AVERAGED	RAW_CHAR3	44	8	130	311.09155206	331.238008239	-20.1464561793	-23.1464561793	1	-8.0631312817	2.42363648331	0.181881811819	0.258174182582
TARGET_CAPACITY_GE3	AVERAGED	PAGE_HOST_PLUS_COMPILER_ACTIVE	44	8	130	311.09155206	331.448215989	-20.3566639299	-23.3566639299	1	-12.7564219226	3.95651554705	0.159684031597	0.258174182582
TARGET_CAPACITY_GE3	AVERAGED	RESIDUAL_HOST_CHAR3	44	8	130	311.09155206	335.474895697	-24.3833436376	-27.3833436376	1	-16.368413597	6.86387571199	0.172382761724	0.258174182582
TARGET_CAPACITY_GE3	AVERAGED	PAGE_HOST_CHAR3	44	8	130	311.09155206	341.268175187	-30.1766231279	-33.1766231279	1	-22.8555735643	8.46051237436	0.152884711529	0.258174182582
TARGET_CAPACITY_GE3	AVERAGED	COMPILER_ACTIVE	44	8	130	311.09155206	342.683980061	-31.5924280012	-34.5924280012	0	-13.7631008382	-1.23467115241	0.032896710329	0.258174182582
TARGET_CAPACITY_GE3	AVERAGED	EDGE_STRIPPED_CHAR3	44	8	130	311.09155206	347.758544187	-36.6669921269	-39.6669921269	1	-15.4299334487	2.67100965875	0.320667933207	0.258174182582
TARGET_CAPACITY_GE3	AVERAGED	STA_FAMILY_CHAR3	44	8	130	311.09155206	365.349743588	-54.2581915287	-57.2581915287	0	-24.4364751414	-0.249713978847	0.165783421658	0.258174182582
TARGET_CAPACITY_GE3	AVERAGED	EDGE_ONLY	44	8	130	311.09155206	383.825280867	-72.7337288078	-75.7337288078	0	-22.254795607	-0.440098955528	0.425057494251	0.258174182582
TARGET_CAPACITY_GE3	IT2a	RAW_CHAR3	44	8	130	311.09155206	340.423173895	-29.3316218353	NOT_PRIMARY	0	-16.4252981824	-0.602611059983	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	IT2a	PAGE_HOST_PLUS_COMPILER_ACTIVE	44	8	130	311.09155206	342.552973558	-31.4614214984	NOT_PRIMARY	1	-22.116491561	2.0749171789	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	IT2a	COMPILER_ACTIVE	44	8	130	311.09155206	349.460995715	-38.3694436553	NOT_PRIMARY	0	-15.2504479326	-2.15497908876	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	IT2a	EDGE_STRIPPED_CHAR3	44	8	130	311.09155206	349.477557242	-38.3860051828	NOT_PRIMARY	0	-14.3773858877	-1.27451568621	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	IT2a	RESIDUAL_HOST_CHAR3	44	8	130	311.09155206	359.141671319	-48.0501192599	NOT_PRIMARY	1	-30.4064720627	0.454679757897	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	IT2a	PAGE_HOST_CHAR3	44	8	130	311.09155206	359.206821107	-48.1152690478	NOT_PRIMARY	2	-36.9006969469	3.41965613448	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	IT2a	STA_FAMILY_CHAR3	44	8	130	311.09155206	364.391778357	-53.3002262979	NOT_PRIMARY	0	-23.819010598	-0.261671963869	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	IT2a	EDGE_ONLY	44	8	130	311.09155206	403.838074604	-92.7465225442	NOT_PRIMARY	0	-30.6197896964	-3.81592539877	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	RF1b	RAW_CHAR3	44	8	130	311.09155206	328.967218617	-17.8756665572	NOT_PRIMARY	2	-13.1584483635	3.60927579389	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	RF1b	PAGE_HOST_PLUS_COMPILER_ACTIVE	44	8	130	311.09155206	336.724497501	-25.6329454416	NOT_PRIMARY	2	-20.4024395631	5.65846095324	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	RF1b	COMPILER_ACTIVE	44	8	130	311.09155206	351.056096937	-39.9645448778	NOT_PRIMARY	0	-13.7042894034	-2.46971744484	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	RF1b	RESIDUAL_HOST_CHAR3	44	8	130	311.09155206	352.041297138	-40.9497450786	NOT_PRIMARY	1	-26.1789025642	2.85086227245	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	RF1b	STA_FAMILY_CHAR3	44	8	130	311.09155206	364.830727724	-53.7391756645	NOT_PRIMARY	0	-25.0436709791	-0.261671963869	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	RF1b	EDGE_STRIPPED_CHAR3	44	8	130	311.09155206	369.517184182	-58.4256321225	NOT_PRIMARY	1	-17.0543368746	0.953951696238	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	RF1b	PAGE_HOST_CHAR3	44	8	130	311.09155206	372.357173243	-61.2656211836	NOT_PRIMARY	1	-32.4977040195	2.24781087271	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	RF1b	EDGE_ONLY	44	8	130	311.09155206	411.479398883	-100.387846823	NOT_PRIMARY	0	-33.2418577859	-4.65760309503	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	ZL3b	PAGE_HOST_PLUS_COMPILER_ACTIVE	44	8	130	311.09155206	336.163991686	-25.0724396266	NOT_PRIMARY	1	-11.2416922907	0.816015957408	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	ZL3b	RAW_CHAR3	44	8	130	311.09155206	336.363530472	-25.2719784124	NOT_PRIMARY	0	-7.79770626897	-1.00745854796	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	ZL3b	COMPILER_ACTIVE	44	8	130	311.09155206	348.292276113	-37.2007240534	NOT_PRIMARY	1	-16.1714795782	0.0709178387168	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	ZL3b	RESIDUAL_HOST_CHAR3	44	8	130	311.09155206	353.355999962	-42.264447902	NOT_PRIMARY	0	-15.856495981	-0.359047924827	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	ZL3b	PAGE_HOST_CHAR3	44	8	130	311.09155206	367.392609082	-56.301057022	NOT_PRIMARY	1	-23.2463062864	1.48026193384	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	ZL3b	STA_FAMILY_CHAR3	44	8	130	311.09155206	368.253729136	-57.1621770762	NOT_PRIMARY	0	-25.4760337721	-0.229418976321	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	ZL3b	EDGE_STRIPPED_CHAR3	44	8	130	311.09155206	368.509135313	-57.4175832532	NOT_PRIMARY	0	-17.4246931496	-0.181299461278	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
TARGET_CAPACITY_GE3	ZL3b	EDGE_ONLY	44	8	130	311.09155206	417.086543574	-105.994991515	NOT_PRIMARY	0	-29.7637960618	-7.92150065165	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
