panel	language_id	glottocode	family	parameter_id	concepticon_gloss	asjp_form_id	phoneme_segments	source_record_count_for_concept	loan_flag_retained_not_selected_on
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	1	I	MINGRELIAN-1-1	m ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	2	THOU	MINGRELIAN-2-1	s i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	3	WE	MINGRELIAN-3-1	t k v ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	11	ONE	MINGRELIAN-11-1	ɐ r t i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	12	TWO	MINGRELIAN-12-1	ʒ i r i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	18	PERSON	MINGRELIAN-18-1	kʼ o tʃ i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	19	FISH	MINGRELIAN-19-1	tʃ x o m i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	21	DOG	MINGRELIAN-21-1	dʒ o x o r i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	22	LOUSE	MINGRELIAN-22-1	tʼ i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	23	TREE	MINGRELIAN-23-1	dʒ ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	25	LEAF	MINGRELIAN-25-1	p u r ts a l i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	28	SKIN	MINGRELIAN-28-1	tʼ kʼ a b i	2	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	30	BLOOD	MINGRELIAN-30-1	z i s x i r i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	31	BONE	MINGRELIAN-31-1	d v ɐ l i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	34	HORN (ANATOMY)	MINGRELIAN-34-1	k ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	39	EAR	MINGRELIAN-39-1	u dʒ i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	40	EYE	MINGRELIAN-40-1	t o l i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	41	NOSE	MINGRELIAN-41-1	tʃ x v i n d i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	43	TOOTH	MINGRELIAN-43-1	kʼ i b i r i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	44	TONGUE	MINGRELIAN-44-1	n i n ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	47	KNEE	MINGRELIAN-47-1	b i r g u l i	2	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	48	HAND	MINGRELIAN-48-1	x a	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	51	BREAST	MINGRELIAN-51-1	kʼ ə d ə r i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	53	LIVER	MINGRELIAN-53-1	tʃ x o n tʃ x i	2	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	54	DRINK	MINGRELIAN-54-1	ʃ u m ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	57	SEE	MINGRELIAN-57-1	ts i r ɐ p ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	58	HEAR	MINGRELIAN-58-1	s ə m ɐ	2	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	61	DIE	MINGRELIAN-61-1	x u r u ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	66	COME	MINGRELIAN-66-1	m u l ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	72	SUN	MINGRELIAN-72-1	b ʒ ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	74	STAR	MINGRELIAN-74-1	m u r i ts x i	2	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	75	WATER	MINGRELIAN-75-1	tsʼ qʼ ɐ r i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	77	STONE	MINGRELIAN-77-1	k u ɐ	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	82	FIRE	MINGRELIAN-82-1	d ɐ tʃ x i r i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	86	MOUNTAIN	MINGRELIAN-86-1	g v ɐ l ɐ	2	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	92	NIGHT	MINGRELIAN-92-1	s a r i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	95	FULL	MINGRELIAN-95-1	o p ʃ ɐ	2	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	96	NEW	MINGRELIAN-96-1	ɐ x ɐ l i	1	false
KARTVELIAN_TARGET	MINGRELIAN	ming1252	Kartvelian	100	NAME	MINGRELIAN-100-1	dʒ o x o	1	false
