endpoint	model	macro_auc	gain_bits	positive_domains	domain_aucs_json	domain_gains_json	max_family_p
UNTIL_STATE_GATE	HIERARCHICAL_OMITTED	0.7311460374753775	-181.67266178778436	3	"{""COREMA"":0.6448413439260746,""CURIOUS_CURES"":0.987233963224199,""HARLEIAN_COOKERY"":0.5079623846528549,""PCEEC2"":0.9111765442420864,""QUINTE_ESSENCE"":0.6045159513316727}"	"{""COREMA"":24.88772072287111,""CURIOUS_CURES"":287.916189832869,""HARLEIAN_COOKERY"":-121.73626222147504,""PCEEC2"":12.953305663754918,""QUINTE_ESSENCE"":-385.69361578580435}"	NA
UNTIL_STATE_GATE	HIERARCHICAL_CONDITIONED_NUISANCE	0.26565634511639785	-80496.9618529187	0	"{""COREMA"":0.19739495121115863,""CURIOUS_CURES"":0.47354195178439834,""HARLEIAN_COOKERY"":0.06375493987808899,""PCEEC2"":0.28638304231746375,""QUINTE_ESSENCE"":0.3072068403908795}"	"{""COREMA"":-25817.227629585374,""CURIOUS_CURES"":-10668.1483292643,""HARLEIAN_COOKERY"":-37939.8100250476,""PCEEC2"":-3094.1359871572236,""QUINTE_ESSENCE"":-2977.6398818642065}"	NA
UNTIL_STATE_GATE	EXACT_JOINT_ONLY	0.576744261583422	-327.5225374635436	1	"{""COREMA"":0.5199523192328097,""CURIOUS_CURES"":0.9002809506263817,""HARLEIAN_COOKERY"":0.6182390699932987,""PCEEC2"":0.3621663213251421,""QUINTE_ESSENCE"":0.48308264673947754}"	"{""COREMA"":-95.40556615857122,""CURIOUS_CURES"":145.36258408662343,""HARLEIAN_COOKERY"":-53.56591628391652,""PCEEC2"":-0.6310707590364615,""QUINTE_ESSENCE"":-323.2825683486428}"	NA
UNTIL_STATE_GATE	STRICT_UNIVERSAL	0.33548543853583107	-691.8876090693054	0	"{""COREMA"":0.5261911797296299,""CURIOUS_CURES"":0.09583399129732954,""HARLEIAN_COOKERY"":0.3243043414847164,""PCEEC2"":0.33563359062286685,""QUINTE_ESSENCE"":0.39546408954461265}"	"{""COREMA"":-160.89105852888997,""CURIOUS_CURES"":-145.26624621026906,""HARLEIAN_COOKERY"":-114.00749480354307,""PCEEC2"":-266.0716293262199,""QUINTE_ESSENCE"":-5.651180200383351}"	NA
COORDINATOR	HIERARCHICAL_EVIDENCE	0.890650330747555	18472.151663905744	3	"{""CURIOUS_CURES"":0.9997968065529427,""HARLEIAN_COOKERY"":0.7919852027137576,""PCEEC2"":0.9492685808685116,""QUINTE_ESSENCE"":0.8215507328550081}"	"{""CURIOUS_CURES"":9396.960244995413,""HARLEIAN_COOKERY"":6387.968428959204,""PCEEC2"":3148.3678234110203,""QUINTE_ESSENCE"":-461.144833459894}"	0.001949317738791423
COORDINATOR	HIERARCHICAL_OMITTED	0.8604245388037712	17955.509706910263	3	"{""CURIOUS_CURES"":0.9999998276073696,""HARLEIAN_COOKERY"":0.58878814701321,""PCEEC2"":0.9825105613293734,""QUINTE_ESSENCE"":0.8703996192651313}"	"{""CURIOUS_CURES"":8157.975595209674,""HARLEIAN_COOKERY"":6224.200653361462,""PCEEC2"":3825.752343538829,""QUINTE_ESSENCE"":-252.41888519970234}"	NA
COORDINATOR	HIERARCHICAL_CONDITIONED_NUISANCE	0.31387964913653077	-338297.5672014169	0	"{""CURIOUS_CURES"":0.26908305968876467,""HARLEIAN_COOKERY"":0.2877100692573013,""PCEEC2"":0.2303100236831599,""QUINTE_ESSENCE"":0.46841544391689716}"	"{""CURIOUS_CURES"":-131456.3499137982,""HARLEIAN_COOKERY"":-131170.8536457733,""PCEEC2"":-70327.66591885652,""QUINTE_ESSENCE"":-5342.697722988823}"	NA
COORDINATOR	EXACT_JOINT_ONLY	0.7101292228001126	9182.373392817606	3	"{""CURIOUS_CURES"":0.9981213340707141,""HARLEIAN_COOKERY"":0.4078751919368719,""PCEEC2"":0.8719133359493179,""QUINTE_ESSENCE"":0.5626070292435467}"	"{""CURIOUS_CURES"":5861.221994377374,""HARLEIAN_COOKERY"":2643.173012180363,""PCEEC2"":1282.3954729695997,""QUINTE_ESSENCE"":-604.4170867097314}"	NA
COORDINATOR	STRICT_UNIVERSAL	0.45562594778959753	4135.752272177191	1	"{""CURIOUS_CURES"":0.4421862350690743,""HARLEIAN_COOKERY"":0.30115839359112,""PCEEC2"":0.5032929266421737,""QUINTE_ESSENCE"":0.575866235856022}"	"{""CURIOUS_CURES"":-1186.000886529222,""HARLEIAN_COOKERY"":6108.365905886212,""PCEEC2"":-570.3249867660961,""QUINTE_ESSENCE"":-216.28776041370247}"	NA
REF_ANAPHORA	HIERARCHICAL_EVIDENCE	0.7796996447584695	5675.845024220779	4	"{""COREMA"":0.6484492479370745,""CURIOUS_CURES"":0.9393970766422798,""HARLEIAN_COOKERY"":0.9057798144529057,""PCEEC2"":0.915792094002459,""QUINTE_ESSENCE"":0.48907999075762865}"	"{""COREMA"":7.123898315148381,""CURIOUS_CURES"":174.18860048933334,""HARLEIAN_COOKERY"":140.87829927542964,""PCEEC2"":6031.469587979109,""QUINTE_ESSENCE"":-677.8153618382407}"	0.001949317738791423
REF_ANAPHORA	HIERARCHICAL_OMITTED	0.7738859692770959	5358.771060759948	4	"{""COREMA"":0.6233261677347914,""CURIOUS_CURES"":0.9744252760230766,""HARLEIAN_COOKERY"":0.8285536553883478,""PCEEC2"":0.9434996040562494,""QUINTE_ESSENCE"":0.4996251431830137}"	"{""COREMA"":11.1501318573753,""CURIOUS_CURES"":199.77215349182416,""HARLEIAN_COOKERY"":96.26898567638204,""PCEEC2"":5194.498380589745,""QUINTE_ESSENCE"":-142.9185908553776}"	NA
REF_ANAPHORA	HIERARCHICAL_CONDITIONED_NUISANCE	0.38748791105684266	-76605.0483886103	0	"{""COREMA"":0.3778775033564374,""CURIOUS_CURES"":0.39911600309382483,""HARLEIAN_COOKERY"":0.22633877118680676,""PCEEC2"":0.400301337948701,""QUINTE_ESSENCE"":0.533805939698443}"	"{""COREMA"":-8601.68966332211,""CURIOUS_CURES"":-8903.540573545915,""HARLEIAN_COOKERY"":-24185.117271004478,""PCEEC2"":-32276.900252694533,""QUINTE_ESSENCE"":-2637.8006280432623}"	NA
REF_ANAPHORA	EXACT_JOINT_ONLY	0.6389281665852545	2327.3472074975452	2	"{""COREMA"":0.39469705634265945,""CURIOUS_CURES"":0.8730430791006873,""HARLEIAN_COOKERY"":0.642609132898236,""PCEEC2"":0.7695603061965005,""QUINTE_ESSENCE"":0.5147312583881894}"	"{""COREMA"":-50.34474351535346,""CURIOUS_CURES"":103.29814322783557,""HARLEIAN_COOKERY"":-29.716210964770994,""PCEEC2"":2446.782737335787,""QUINTE_ESSENCE"":-142.67271858595245}"	NA
REF_ANAPHORA	STRICT_UNIVERSAL	0.5696452336588009	-25091.367390190408	0	"{""COREMA"":0.5785849870746292,""CURIOUS_CURES"":0.5251348618405628,""HARLEIAN_COOKERY"":0.7664104119256083,""PCEEC2"":0.48725962033008907,""QUINTE_ESSENCE"":0.4908362871231153}"	"{""COREMA"":-2674.002031617446,""CURIOUS_CURES"":-1286.4252138826728,""HARLEIAN_COOKERY"":-3533.818853696609,""PCEEC2"":-16466.147588397063,""QUINTE_ESSENCE"":-1130.9737025966178}"	NA
